# ===== Simulation Performance =====
# wall_clock_time,65.958698
# physics_time,10.010000
# real_time_factor,0.151762
# control_time,0.052817
# ==================================

time,sim_time,task_error,u0,u1,u2
0.0,0.01,0.3273556580334094,-8.774858639576819e-09,-8.774858639576819e-09,-8.774858639576819e-09
0.05,0.060000000000000005,0.2532795167030601,-11.224619039794666,-11.688046211002797,-11.728574159539749
0.09999999999999999,0.10999999999999999,0.1724041816363903,-17.523186050347363,-17.59961962661256,-17.604136397827258
0.15,0.16,0.12300026385917417,-13.946716590194917,-13.993796439191238,-13.994966237269022
0.20000000000000004,0.21000000000000005,0.0952207205144676,-9.564598064413161,-9.700629513784122,-9.701087822284677
0.25000000000000006,0.26000000000000006,0.08111188187439577,-6.886407771506976,-7.117903247496023,-7.118072150096523
0.3000000000000001,0.3100000000000001,0.0743525140652346,-5.439513408246374,-5.734066945949692,-5.734096527371367
0.35000000000000014,0.36000000000000015,0.07102127267098247,-4.801698225359126,-5.150370254390859,-5.1503142203639225
0.4000000000000002,0.4100000000000002,0.06965638418805835,-4.746658231426798,-5.15117509040514,-5.151077440913377
0.45000000000000023,0.46000000000000024,0.068939434251986,-4.592007072308348,-4.990685730044613,-4.990624814956356
0.5000000000000002,0.5100000000000002,0.06827916986470503,-4.435081432513007,-4.822257791854387,-4.82223328278913
0.5500000000000003,0.5600000000000003,0.06766781792601019,-4.289660203642612,-4.666054714766469,-4.666064406814144
0.6000000000000003,0.6100000000000003,0.06710086104812672,-4.15492294818544,-4.521204411173764,-4.521246331912476
0.6500000000000004,0.6600000000000004,0.06657421860078579,-4.0301022546477085,-4.38689176110712,-4.386964145158983
0.7000000000000004,0.7100000000000004,0.06608420608573932,-3.9144822005002475,-4.262356945474725,-4.262458212075267
0.7500000000000004,0.7600000000000005,0.06562749774016953,-3.8073955053958177,-4.146892248327415,-4.1470209814185655
0.8000000000000005,0.8100000000000005,0.06520109213974563,-3.7082207475109015,-4.039838960637455,-4.039993891187394
0.8500000000000005,0.8600000000000005,0.06480228068873774,-3.6163796477054726,-3.9405843848529774,-3.940764375143789
0.9000000000000006,0.9100000000000006,0.06442861885995084,-3.5313344080936875,-3.8485589214288005,-3.8487629505293115
0.9500000000000006,0.9600000000000006,0.06407790002407708,-3.4525852712497573,-3.763233406965225,-3.7634605594495927
1.0000000000000007,1.0100000000000007,0.06374813169998289,-3.3796679777005836,-3.6841163635794762,-3.6843658174623273
1.0500000000000007,1.0600000000000007,0.0634375140642558,-3.31215156840126,-3.610751624485838,-3.6110226422837823
1.1000000000000008,1.1100000000000008,0.06314442053423634,-3.2496360986503166,-3.5427158786078055,-3.543007798032457
1.1500000000000008,1.1600000000000008,0.06286738026843657,-3.1917505878680315,-3.479616472948025,-3.479928699076394
1.2000000000000008,1.2100000000000009,0.0626050624111607,-3.138151048381582,-3.421089305715094,-3.421421303991387
1.2500000000000009,1.260000000000001,0.06235626192870292,-3.088518634839209,-3.3667968534423656,-3.367148143420814
1.300000000000001,1.310000000000001,0.06211988688995145,-3.04255788735049,-3.316426301292518,-3.3167964510572236
1.350000000000001,1.360000000000001,0.061894947054373664,-2.999995091568701,-3.2696878019782183,-3.2700764230278874
1.400000000000001,1.410000000000001,0.061680543641077466,-2.9605767668928484,-3.2263128717475955,-3.2267196147537374
1.450000000000001,1.460000000000001,0.061475860153083234,-2.924068213059171,-3.186052851406314,-3.186477402159657
1.500000000000001,1.5100000000000011,0.06128015416442192,-2.890252150992784,-3.148677468872314,-3.1491195446289844
1.5500000000000012,1.5600000000000012,0.06109274996217821,-2.8589274717332036,-3.1139735166742537,-3.1144328629442803
1.6000000000000012,1.6100000000000012,0.06091303195669214,-2.829908065878283,-3.0817436161284526,-3.0822200037941507
1.6500000000000012,1.6600000000000013,0.06074043877800264,-2.8030217326068687,-3.051805066386961,-3.0522982891126467
1.7000000000000013,1.7100000000000013,0.06057445798876184,-2.778109155985579,-3.0239887646668913,-3.0244986365826474
1.7500000000000013,1.7600000000000013,0.0604146213455185,-2.755022958664347,-2.998138208045044,-2.9986645616802763
1.8000000000000014,1.8100000000000014,0.0602605005559286,-2.733626823715703,-2.9741085685964417,-2.9746512530415004
1.8500000000000014,1.8600000000000014,0.06011170346329876,-2.713794680096945,-2.9517658405277203,-2.9523247196600657
1.9000000000000015,1.9100000000000015,0.05996787062938753,-2.6954099177865665,-2.9309860063773066,-2.931560957492571
1.9500000000000015,1.9600000000000015,0.05982867227023351,-2.678364714012651,-2.9116543311668375,-2.912245243550554
2.0000000000000013,2.010000000000001,0.059693805496248704,-2.6625593699225876,-2.8936646634245533,-2.8942714370200275
2.0500000000000003,2.06,0.0595629918356871,-2.6479016899721244,-2.8769187823681994,-2.877541326749624
2.099999999999999,2.109999999999999,0.05943597500605453,-2.634306421324146,-2.8613258067591905,-2.861964040172328
2.149999999999998,2.159999999999998,0.05931250950526234,-2.621656138133721,-2.84672406965799,-2.8474525024982276
2.199999999999997,2.209999999999997,0.05919238383630146,-2.609946137721929,-2.8331863462795908,-2.8339215318800073
2.249999999999996,2.259999999999996,0.059075404461349464,-2.599083836120638,-2.8205722417665164,-2.8213141294006845
2.299999999999995,2.3099999999999947,0.058961384956796745,-2.5890065847000536,-2.8088147593284702,-2.8095633732540373
2.349999999999994,2.3599999999999937,0.058850152909112434,-2.57965650096113,-2.7978519798856887,-2.7986073611913467
2.399999999999993,2.4099999999999926,0.05874154870714225,-2.5709800656873747,-2.787626610090965,-2.7883888149863947
2.4499999999999917,2.4599999999999915,0.058635424447218344,-2.5629277849225813,-2.7780856249488353,-2.7788547232261043
2.4999999999999907,2.5099999999999905,0.05853164084441223,-2.55544612636397,-2.7691652109461704,-2.7699546512422093
2.5499999999999896,2.5599999999999894,0.05843007562576871,-2.5485240813163577,-2.7608683613324043,-2.7616627625090526
2.5999999999999885,2.6099999999999883,0.05833063306126847,-2.5422611008890548,-2.753305615682339,-2.7540988319450905
2.6499999999999875,2.6599999999999873,0.058233230223751674,-2.5364666579592523,-2.7461978855732148,-2.7470768461225545
2.6999999999999864,2.709999999999986,0.05813758909285624,-2.530800619537223,-2.739286994145932,-2.74016595666609
2.7499999999999853,2.759999999999985,0.05804372403116923,-2.5255907231413386,-2.732881014357922,-2.7337714746786403
2.7999999999999843,2.809999999999984,0.05795155931737295,-2.5207362555774235,-2.726877959097311,-2.7277648337913365
2.849999999999983,2.859999999999983,0.05786101672326135,-2.516237449639352,-2.721260066985217,-2.72216897592876
2.899999999999982,2.909999999999982,0.05777201806531432,-2.512057848061353,-2.71599882886397,-2.7169295964041584
2.949999999999981,2.959999999999981,0.05768448992118437,-2.5081745238709203,-2.7110694622798563,-2.7120219105699626
2.99999999999998,3.00999999999998,0.05759836402008253,-2.5045664929671014,-2.70647531696092,-2.707392177819761
3.049999999999979,3.0599999999999787,0.057513578138363775,-2.501197779639378,-2.702130210444783,-2.7030581199549166
3.099999999999978,3.1099999999999777,0.05743007134090299,-2.498066754073244,-2.698051626547029,-2.698994277809141
3.149999999999977,3.1599999999999766,0.05734778723325855,-2.4951546097304007,-2.6942210067535646,-2.695178388122524
3.1999999999999758,3.2099999999999755,0.05726667278049957,-2.4924459100157916,-2.6906215670301026,-2.691593667085252
3.2499999999999747,3.2599999999999745,0.057186678091974745,-2.4899263655731496,-2.687237751317632,-2.6882245588056053
3.2999999999999736,3.3099999999999734,0.05710775619227699,-2.4875827428215,-2.684055132124821,-2.68505663604531
3.3499999999999726,3.3599999999999723,0.05702986281136314,-2.485402792263491,-2.6810603387804828,-2.6820765280861787
3.3999999999999715,3.4099999999999713,0.056952956187040465,-2.483375164747071,-2.6782409653008807,-2.679271828805265
3.4499999999999704,3.45999999999997,0.05687699688773165,-2.4814962009758315,-2.6755874564603257,-2.676634158830005
3.4999999999999694,3.509999999999969,0.056801953343168655,-2.4797455615772894,-2.6730890192943373,-2.67415026861687
3.5499999999999683,3.559999999999968,0.05672778435525536,-2.4781169621619497,-2.670732306483846,-2.6718082382912014
3.5999999999999672,3.609999999999967,0.0566544565143126,-2.4766029391342883,-2.668509599633737,-2.66960020275327
3.649999999999966,3.659999999999966,0.05658193821823467,-2.475195753919701,-2.6664123715465324,-2.6675176344756975
3.699999999999965,3.709999999999965,0.05651019949239507,-2.4738882331852015,-2.6644327035636026,-2.665552614429793
3.749999999999964,3.759999999999964,0.056439211879816716,-2.472673727281033,-2.6625632418027774,-2.6636977883140585
3.799999999999963,3.8099999999999627,0.056368948340643335,-2.47154606809007,-2.6607971511710304,-2.661946320588627
3.849999999999962,3.8599999999999617,0.05629938315878869,-2.470499537306844,-2.659128082756356,-2.6602918618461056
3.899999999999961,3.9099999999999606,0.05623049185560812,-2.4695288298023157,-2.6575501338598126,-2.6587285088616768
3.9499999999999598,3.9599999999999596,0.05616225111011033,-2.468629024058875,-2.6560578167978055,-2.657250773388323
3.9999999999999587,4.009999999999959,0.056094638685303046,-2.467795552066396,-2.6546460261988654,-2.6558535494668725
4.049999999999958,4.059999999999958,0.05602763335969595,-2.4670241754967783,-2.6533100144037713,-2.6545320888084705
4.099999999999957,4.109999999999957,0.05596121486394183,-2.466310958228293,-2.6520453610115484,-2.6532819703635204
4.149999999999956,4.159999999999956,0.055895363822409894,-2.4656522473377547,-2.650847953620626,-2.6520990810424143
4.199999999999955,4.209999999999955,0.05583006169816107,-2.4650446481438917,-2.6497139599740174,-2.650979587881512
4.249999999999954,4.259999999999954,0.05576529074299544,-2.464485008018939,-2.648639811339055,-2.6499199214119495
4.299999999999953,4.3099999999999525,0.05570103395044799,-2.463970398092216,-2.6476221827350486,-2.648916755978817
4.349999999999952,4.3599999999999515,0.055637275011948116,-2.4634980959651656,-2.646657974496656,-2.647966991055832
4.399999999999951,4.40999999999995,0.055573998276519994,-2.463065569892533,-2.6457442947856955,-2.6470677339748083
4.4499999999999496,4.459999999999949,0.05551118871306888,-2.4626704657669354,-2.6448784460355066,-2.6462162863303034
4.4999999999999485,4.509999999999948,0.055448831875387655,-2.462310594993631,-2.6440579120637646,-2.645410131074113
4.549999999999947,4.559999999999947,0.05538691386967624,-2.4619839204869014,-2.6432803425583056,-2.644646917007632
4.599999999999946,4.609999999999946,0.05532542132398782,-2.4616885454529958,-2.6425435409228246,-2.643924446630138
4.649999999999945,4.659999999999945,0.055264341360173115,-2.4614227056379607,-2.6418454566849094,-2.6432406685329286
4.699999999999944,4.709999999999944,0.05520366156709581,-2.4611847565843132,-2.6411841709133457,-2.6425936628323528
4.749999999999943,4.759999999999943,0.05514336997672414,-2.4609731674239668,-2.6405578901514297,-2.6419816350920104
4.799999999999942,4.809999999999942,0.05508345504042613,-2.4607865103100113,-2.6399649342606346,-2.641402904181576
4.849999999999941,4.859999999999941,0.05502390560811101,-2.4606234549849546,-2.6394037315135175,-2.640855897349619
4.89999999999994,4.90999999999994,0.05496471090800773,-2.4604827608926496,-2.638872809448881,-2.6403391410932513
4.949999999999939,4.959999999999939,0.054905860527792984,-2.4603632702364826,-2.6383707874042095,-2.6398512536878567
4.999999999999938,5.009999999999938,0.054847344397096695,-2.460263902440829,-2.637896370583341,-2.639390939255514
5.049999999999937,5.0599999999999365,0.054789152771378635,-2.4601836487391693,-2.6374483443133805,-2.638956982018448
5.099999999999936,5.1099999999999355,0.054731276216408095,-2.4601215671171484,-2.6370255684361736,-2.638548240695139
5.149999999999935,5.159999999999934,0.05467370559365752,-2.460076776203262,-2.636626970448529,-2.6381636416419507
5.199999999999934,5.209999999999933,0.05461643204704855,-2.460048453003946,-2.6362515436754297,-2.6378021770171776
5.2499999999999325,5.259999999999932,0.0545594469904161,-2.460035827518873,-2.6358983409696033,-2.637462898488358
5.299999999999931,5.309999999999931,0.054502742095056414,-2.4600381789331403,-2.6355664704286323,-2.6371449129531457
5.34999999999993,5.35999999999993,0.0544463092792582,-2.4600548320113917,-2.635255091708089,-2.636847378846446
5.399999999999929,5.409999999999929,0.05439014069713624,-2.460085155061528,-2.6349634141063007,-2.6365695042204145
5.449999999999928,5.459999999999928,0.05433422872914094,-2.4601285551330125,-2.634690690428042,-2.636310540626792
5.499999999999927,5.509999999999927,0.05427856597269805,-2.4601844767787626,-2.6344362168022366,-2.636069782910208
5.549999999999926,5.559999999999926,0.054223145233249205,-2.4602523981770323,-2.6341993272340045,-2.635846563785314
5.599999999999925,5.609999999999925,0.05416795951615766,-2.460331830067043,-2.633979393539869,-2.635640253750382
5.649999999999924,5.659999999999924,0.054113002018717674,-2.4604223118817385,-2.6337758203465933,-2.635450256100566
5.699999999999923,5.709999999999923,0.054058266122820955,-2.4605234114045706,-2.6335880448764226,-2.635276006712501
5.749999999999922,5.759999999999922,0.054003745388011136,-2.4606347214595465,-2.6334155336153695,-2.635116970704056
5.799999999999921,5.809999999999921,0.053949433545025446,-2.460755859225772,-2.6332577813515625,-2.6349726414787256
5.84999999999992,5.8599999999999195,0.05389532448924112,-2.46088646361412,-2.6331143080817547,-2.634842537635945
5.899999999999919,5.909999999999918,0.05384141227501707,-2.461026194575626,-2.6329846587734416,-2.6347262027235927
5.949999999999918,5.959999999999917,0.05378769110990071,-2.461174731192166,-2.6328684007721392,-2.634623202654221
5.9999999999999165,6.009999999999916,0.053734155349363814,-2.4613317701438895,-2.6327651223016444,-2.6345331242026324
6.0499999999999154,6.059999999999915,0.05368079949162135,-2.4614970249855,-2.632674431139262,-2.6344555736926782
6.099999999999914,6.109999999999914,0.053627618173110105,-2.461670225045574,-2.632595954913337,-2.6343901772611455
6.149999999999913,6.159999999999913,0.053574606163696956,-2.4618511140448964,-2.632529337594289,-2.6343365773932503
