# ===== Simulation Performance =====
# wall_clock_time,50.482611
# physics_time,39.982500
# real_time_factor,0.792005
# control_time,0.008100
# ==================================

time,sim_time,lyapunov_V,x_log,xd_log,task_error,u0,u1,u2,u3,u4,u5,u6,u7,u8
0.0,0.0075,151.06636431924926,"[0.0, 0.0, 0.2575]","[0.37123106012293744, 0.0, 0.5409009742330267]",0.4670424094193467,0.0,0.0,5.535203808139353e-11,0.0,0.0,5.535203808139353e-11,0.0,0.0,5.535203808139353e-11
0.0375,0.045,212.75872028849753,"[0.06224523472065395, 4.9871400950887764e-05, 0.29840148939145067]","[0.3705989337263029, 0.0, 0.5415183797582521]",0.39266758022435,0.8066547367783338,-0.01510253699141232,24.9997354756806,0.3642499885891487,-0.008536819306823033,13.151258019685553,0.05624337417684059,0.0029419408571169678,4.1761475913540025
0.07500000000000001,0.08250000000000002,299.48492866983025,"[0.14748392824808315, 1.8787163412928156e-05, 0.35372552690432946]","[0.3699521741908963, 0.0, 0.5421209787225365]",0.29152181234277463,-2.0468791751362394,-0.03931561382590526,25.005926889666128,-0.9369345490620968,-0.0064221409994479174,8.106774390507974,-0.11660714108918699,-0.008773175897554686,0.4903811147009077
0.11250000000000004,0.12000000000000005,174.9734378485647,"[0.20617619572553875, 4.140975170421719e-06, 0.43566617053819556]","[0.3692908712802839, 0.0, 0.5427086874913466]",0.19510125021163519,0.04377524805177244,-0.0022978719307524304,24.999975681575236,-0.2831314108158652,-0.0016521269706913542,4.802681279233973,-0.11867134716094783,0.022619715491270887,-3.241967530621335e-06
0.15000000000000008,0.15750000000000008,96.92590287227439,"[0.19483649245440518, 0.0003986647608518831, 0.48976700322750893]","[0.3686151167765027, 0.0, 0.5432814244967548]",0.1818322372096174,0.9367218818593294,0.017412983902841548,25.000172941021802,0.2291612046414008,0.0008869975916368637,7.789691889643897,0.017898939925781662,0.0076022427897576164,-3.069360979507823e-05
0.1875000000000001,0.19500000000000012,31.630034195595513,"[0.23685394173014337, 0.0008782724490334786, 0.49950335312629507]","[0.3679250044673219, 0.0, 0.5438391102487599]",0.13836926757474113,0.697129894429517,0.0034143623045665944,15.639091706944935,0.2305958108808586,0.000680648344340915,5.717135573624545,0.002044146690358317,-0.021556973087957513,0.7223110470220813
0.22500000000000014,0.23250000000000015,13.376994771153768,"[0.27948353147738125, 0.0010863708454074358, 0.5067175152229461]","[0.3672206301332265, 0.0, 0.54438166734632]",0.09548595204181567,0.779929647795364,0.0043689531531667875,12.780963980104199,0.33401766523446674,0.008773047005646309,3.949568982432338,0.04143791607907679,-0.007721266576940447,0.5102181296099528
0.2625000000000002,0.2700000000000002,8.227249986540732,"[0.3079974608424786, 0.0012647389579298943, 0.5195903701093048]","[0.3665020915341238, 0.0, 0.544909020488095]",0.06376068878235956,0.4232001160344617,0.002504333995438825,8.605030984518912,0.20423685596322566,0.0011436307661736754,3.042561764200787,0.027340640227266417,0.015605001626028871,0.3404422589720367
0.3000000000000002,0.3075000000000002,4.126698460413287,"[0.32957332403850503, 0.0014554494528213886, 0.5294131558975451]","[0.365769488395775, 0.0, 0.5454210964828967]",0.03960473215503882,0.6024739105322335,-0.006776776355464806,7.469998868267541,0.24731241260321654,-0.010960995149611732,1.8182383525349197,0.019493694588985467,0.007473065905086475,0.030353321041924158
0.33750000000000024,0.34500000000000025,1.5363858679500257,"[0.3335688238981216, 0.0014820718772482725, 0.5346131474258361]","[0.3650229223959549, 0.0, 0.5459178242598484]",0.033456726792712166,0.5881878509959423,-0.005467055789822694,6.143465327518687,0.25601997349784333,-0.00423413441271631,1.718191291997859,0.02687246648427811,-0.011345901814596186,2.929478103728101e-05
0.3750000000000003,0.3825000000000003,0.7323465641205987,"[0.3366617362285399, 0.0013225873120368758, 0.5380761865038209]","[0.36426249715033954, 0.0, 0.5463991348782472]",0.028858667853933727,0.6089105574063804,0.00742334914143446,5.262311398159027,0.25912871062601667,0.008149525808996355,1.2754470814423318,0.030566756911748504,-0.007813878562379249,-1.1293862292923426e-08
