# ===== Simulation Performance =====
# wall_clock_time,15.962048
# physics_time,13.330000
# real_time_factor,0.835106
# control_time,0.005283
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1
0.0,0.005,"[0.24, 0.0, 0.24]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.09468288445399207,0.0,0.0
0.025,0.030000000000000002,"[0.23969971603605744, 0.0, 0.22876997219388576]","[0.1973078262351447, 0.0, 0.15579785531868617]",0.08439195555347985,1.000000040379756,-0.28936954839891016
0.049999999999999996,0.05499999999999999,"[0.23632537193095332, 0.0, 0.2000685377683148]","[0.1965947289474681, 0.0, 0.15641675973160254]",0.05902543280355983,0.7060848708457215,-0.23582345343282038
0.075,0.08,"[0.22712058876025115, 0.0, 0.16527765530433877]","[0.1958510027377208, 0.0, 0.15700355591803736]",0.0323457529001076,0.4295267570284741,-0.46751239279186413
0.10000000000000002,0.10500000000000002,"[0.21349197159183558, 0.0, 0.13426030109363868]","[0.19507706047774664, 0.0, 0.15755791812421163]",0.029696597627388886,0.1375345112594234,-0.5000647850099743
0.12500000000000003,0.13000000000000003,"[0.1991579127852048, 0.0, 0.111262679157858]","[0.19427333181351442, 0.0, 0.15807953860173185]",0.04707098320044357,0.05482123064786241,-0.6458389627324331
0.15000000000000005,0.15500000000000005,"[0.18726216966942963, 0.0, 0.09702152014416064]","[0.19344026292660435, 0.0, 0.1585681277784336]",0.061855911177360355,-0.08413059087689752,-0.7058726608315375
0.17500000000000007,0.18000000000000008,"[0.17920615465425963, 0.0, 0.09050437668643915]","[0.19257831628651506, 0.0, 0.1590234144191343]",0.06981169843610502,-0.10461442017062979,-0.8110963343700637
0.2000000000000001,0.2050000000000001,"[0.17506630629353684, 0.0, 0.09069036139990722]","[0.19168797039392854, 0.0, 0.1594451457762068]",0.07073542317748371,-0.20142849391815665,-0.8611427311816466
0.22500000000000012,0.23000000000000012,"[0.17417094956240758, 0.0, 0.0967112133908228]","[0.19076971951507546, 0.0, 0.15983308772988938]",0.0652678342219083,-0.2472856246281681,-0.905066781288267
0.2500000000000001,0.2550000000000001,"[0.17526366085726422, 0.0, 0.10765363235845994]","[0.18982407340734828, 0.0, 0.160187024918255]",0.05451387848493425,-0.2494532832323718,-0.8949310752831361
0.27500000000000013,0.28000000000000014,"[0.17617766319412678, 0.0, 0.12139841462130811]","[0.18885155703631493, 0.0, 0.16050676085676724]",0.04111070822055495,-0.1730369603237098,-0.890726732037092
0.30000000000000016,0.30500000000000016,"[0.17554071172620705, 0.0, 0.1359924680695277]","[0.18785271028428968, 0.0, 0.1607921180473566]",0.027687685846185448,-0.22177968886761298,-0.8717770786284365
0.3250000000000002,0.3300000000000002,"[0.173419537450807, 0.0, 0.150798065820118]","[0.18682808765062286, 0.0, 0.16104293807695672]",0.016874437057867318,-0.20020878855647442,-0.8273978250727785
0.3500000000000002,0.3550000000000002,"[0.16967202522800584, 0.0, 0.16442340656775453]","[0.1857782579438767, 0.0, 0.16125908170544573]",0.016414130623703907,-0.134510557048919,-0.7684431140589384
0.3750000000000002,0.3800000000000002,"[0.16447227779966397, 0.0, 0.1753079436430993]","[0.1847038039660568, 0.0, 0.16144042894294391]",0.02452799655455909,-0.06268337577372217,-0.7006176006334538
0.40000000000000024,0.40500000000000025,"[0.15843371270954693, 0.0, 0.18259433914605425]","[0.18360532218907594, 0.0, 0.16158687911642497]",0.032786022947078934,-0.008788034705865772,-0.6262668480256675
0.42500000000000027,0.43000000000000027,"[0.15229962299920624, 0.0, 0.1863445218302868]","[0.18248342242362886, 0.0, 0.1616983509256034]",0.03896787764244594,0.01681900681895685,-0.5465796008052254
0.4500000000000003,0.4550000000000003,"[0.1466726491934262, 0.0, 0.18726713668932107]","[0.18133872748066227, 0.0, 0.16177478248806768]",0.043030188316331375,0.016187201898003812,-0.4633167098195018
0.4750000000000003,0.4800000000000003,"[0.14194234030987887, 0.0, 0.186293344220826]","[0.18017187282562763, 0.0, 0.16181613137363351]",0.04539417479302225,-0.004576364499657636,-0.37879009879911085
0.5000000000000003,0.5050000000000003,"[0.13833361698980706, 0.0, 0.18427385092503987]","[0.1789835062257094, 0.0, 0.16182237462789864]",0.04643794012240663,-0.03988926422386628,-0.295494616560017
0.5250000000000004,0.5300000000000004,"[0.13596416451645468, 0.0, 0.18184998992861146]","[0.17777428739022375, 0.0, 0.1617935087849856]",0.0463718536461967,-0.08119157556413806,-0.2161837350476541
0.5500000000000004,0.5550000000000004,"[0.13486171807456274, 0.0, 0.1794206071027876]","[0.1765448876043878, 0.0, 0.16172954986946583]",0.04528200667025262,-0.12228693130837809,-0.1431583929932992
