time,V,V_dot,stability_bound,task_error,u_0 (A Flexor),u_1 (A Extensor),u_2 (B Flexor),u_3 (B Extensor),tau_0,tau_1,tau_2,tau_3
0.0,66.58773104653682,[-4439.13767839],-2219.546643503186,0.18601075237738274,0.010188773961702603,-0.0,0.0,0.10020799630564801,0.0010188773961702603,0.0010188773961702603,-0.010020799630564802,-0.010020799630564802
0.002,66.50438894844682,[-4433.59702146],-2216.784056511693,0.18601075237738274,0.0,0.03430180752277784,0.5745775884929099,-0.0,-0.003430180752277784,-0.003430180752277784,0.05745775884929099,0.05745775884929099
0.004,65.481999995897,[-4365.43723494],-2182.70390174683,0.18599733146342204,0.015580195527518345,-0.0,0.0,0.6260864326448297,0.0015580195527518347,0.0015580195527518347,-0.06260864326448297,-0.06260864326448297
0.006,66.22573151421858,[-4415.01978888],-2207.495405071135,0.1858180354141394,0.0,0.033848914040399795,0.4066927417425564,-0.0,-0.0033848914040399795,-0.0033848914040399795,0.04066927417425564,0.04066927417425564
0.008,65.26025407372144,[-4350.65413535],-2175.312332879525,0.18578235416254535,0.01781143326595701,-0.0,0.0,0.669693245520137,0.0017811433265957012,0.0017811433265957012,-0.0669693245520137,-0.0669693245520137
0.01,65.879683057165,[-4391.94979839],-2195.9603631519835,0.1855907841748292,0.0,0.013905465543994714,0.5224042150766114,-0.0,-0.0013905465543994715,-0.0013905465543994715,0.052240421507661144,0.052240421507661144
0.012,64.66270956488997,[-4310.81760334],-2155.3939511787594,0.18552552114544996,0.006536842282707933,-0.0,0.0,0.4497362326067676,0.0006536842282707933,0.0006536842282707933,-0.04497362326067676,-0.04497362326067676
0.014,64.95311303941074,[-4330.17809734],-2165.0743293642754,0.1852634894397137,0.0,0.015962411905468578,0.5516144437654594,-0.0,-0.0015962411905468578,-0.0015962411905468578,0.055161444376545944,0.055161444376545944
0.016,63.763574829582424,[-4250.87494356],-2125.4224492421818,0.18508227477538755,0.014936274080533581,-0.0,0.0,0.4602077448474275,0.0014936274080533582,0.0014936274080533582,-0.04602077448474275,-0.04602077448474275
0.018000000000000002,64.05830825595652,[-4270.52415802],-2135.2472161570963,0.18471871433257003,0.0,0.01903654047722047,0.5739763276481842,-0.0,-0.001903654047722047,-0.001903654047722047,0.05739763276481842,0.05739763276481842
0.020000000000000004,62.83756632422169,[-4189.14074033],-2094.555196187218,0.18445049563369373,0.019125674468120434,-0.0,0.0,0.6181362257860314,0.0019125674468120435,0.0019125674468120435,-0.06181362257860315,-0.06181362257860315
0.022000000000000006,63.289418740468335,[-4219.26469818],-2109.617406826623,0.18400103318231484,0.0,0.01791459704304978,0.489257134105722,-0.0,-0.001791459704304978,-0.001791459704304978,0.048925713410572204,0.048925713410572204
0.024000000000000007,62.09937183716586,[-4139.92763382],-2069.948572573824,0.1836869914823179,0.01275426798533723,-0.0,0.0,0.5034600983493556,0.0012754267985337232,0.0012754267985337232,-0.05034600983493556,-0.05034600983493556
0.02600000000000001,62.314390338521335,[-4154.26254654],-2077.116201896683,0.18319946021190325,0.0,0.018904829036426266,0.4570221186209299,-0.0,-0.0018904829036426266,-0.0018904829036426266,0.045702211862092994,0.045702211862092994
0.02800000000000001,61.159631034526264,[-4077.27801417],-2038.6236463557207,0.18281156729035114,0.010654888059816675,-0.0,0.0,0.5290237457121415,0.0010654888059816675,0.0010654888059816675,-0.052902374571214154,-0.052902374571214154
0.030000000000000013,61.350269564116225,[-4089.98761947],-2044.9786340000712,0.18226211146995966,0.0,0.017284686556328942,0.5863270622268414,-0.0,-0.0017284686556328943,-0.0017284686556328943,0.05863270622268414,0.05863270622268414
0.032000000000000015,60.018715637103085,[-4001.21665248],-2000.5927979126056,0.18181719280814826,0.010001022447490045,-0.0,0.0,0.3780853114380186,0.0010001022447490046,0.0010001022447490046,-0.037808531143801866,-0.037808531143801866
0.034000000000000016,60.03011827076336,[-4001.97713294],-2000.9731905844117,0.18118116189114933,0.0,0.029646115273980228,0.48012145894688174,-0.0,-0.002964611527398023,-0.002964611527398023,0.04801214589468818,0.04801214589468818
0.03600000000000002,58.870773237234154,[-3924.68688729],-1962.3277793847353,0.18062857298685178,0.018181004569030462,-0.0,0.0,0.7366900815782226,0.0018181004569030462,0.0018181004569030462,-0.07366900815782226,-0.07366900815782226
0.03800000000000002,59.236971415509736,[-3949.10070062],-1974.5349867685607,0.17992620863986564,0.0,0.028001384005279184,0.5949941380469898,-0.0,-0.0028001384005279188,-0.0028001384005279188,0.059499413804698975,0.059499413804698975
0.04000000000000002,57.819906742527145,[-3854.62893176],-1927.298707012031,0.17938525002653333,0.01694069909712474,-0.0,0.0,0.8433095191556266,0.001694069909712474,0.001694069909712474,-0.08433095191556267,-0.08433095191556267
0.04200000000000002,58.236837085555976,[-3882.42496645],-1941.1970636004312,0.17863980304760987,0.0,0.01738805351912168,0.44854877254481534,-0.0,-0.0017388053519121682,-0.0017388053519121682,0.044854877254481534,0.044854877254481534
0.044000000000000025,56.925713824316844,[-3795.01602888],-1897.4922347374038,0.17807375334564035,0.03655134163080137,-0.0,0.0,0.928640785008648,0.003655134163080137,0.003655134163080137,-0.09286407850086481,-0.09286407850086481
0.04600000000000003,57.300061911647994,[-3819.97322757],-1909.9711638510314,0.17732311183947472,0.0,0.017584882980151862,0.24153088058662905,-0.0,-0.0017584882980151862,-0.0017584882980151862,0.024153088058662908,0.024153088058662908
0.04800000000000003,56.14506235751808,[-3742.97264666],-1871.4705680704803,0.17674689757065398,0.0,0.7104532538105149,0.0,0.014806885726207858,-0.0710453253810515,-0.0710453253810515,-0.0014806885726207858,-0.0014806885726207858
