time,V,V_dot,stability_bound,task_error,u_0 (A Flexor),u_1 (A Extensor),u_2 (B Flexor),u_3 (B Extensor),tau_0,tau_1,tau_2,tau_3
0.0,66.58773104653682,[-3948.38304293],-1728.7920080457156,0.18601075237738274,0.0,1.0000000048971218,0.9999999995521796,-0.0,-0.10000000048971219,-0.10000000048971219,0.09999999995521797,0.09999999995521797
0.002,65.4084467845927,[-3882.01394316],-1701.7323836763585,0.18601075237738274,0.0,1.0000000001779976,0.9999999999662706,-0.0,-0.10000000001779977,-0.10000000001779977,0.09999999999662706,0.09999999999662706
0.004,64.6934744068534,[-4100.87057813],-1944.421431234888,0.1858219218862719,0.0,1.0000000004129226,0.9999999999855009,-0.0,-0.10000000004129227,-0.10000000004129227,0.0999999999985501,0.0999999999985501
0.006,64.1696897755312,[-4174.23689887],-2035.2472395980312,0.18553896265058473,0.0,1.0000004234621065,0.9999999828079525,-0.0,-0.10000004234621065,-0.10000004234621065,0.09999999828079525,0.09999999828079525
0.008,63.748742276423705,[-4194.16911274],-2069.2110367632695,0.18520326342095136,0.0,0.9999998921720228,1.0000000109687326,-0.0,-0.09999998921720228,-0.09999998921720228,0.10000000109687326,0.10000000109687326
0.01,63.39118195297234,[-4168.05275615],-2055.0133577144866,0.18483753017081692,0.0,1.000000036922844,0.9999999982413464,-0.0,-0.1000000036922844,-0.1000000036922844,0.09999999982413466,0.09999999982413466
0.012,63.07585286565554,[-4145.71633519],-2043.1879061887946,0.18445531780205446,0.0,1.0000000335389243,1.000000001018249,-0.0,-0.10000000335389243,-0.10000000335389243,0.10000000010182492,0.10000000010182492
0.014,62.790403081205575,[-4133.66070911],-2040.647273022749,0.18406504833041523,0.04933636607075298,-0.0,1.0000000159006552,-0.0,0.004933636607075298,0.004933636607075298,0.10000000159006553,0.10000000159006553
0.016,62.28932564999331,[-4110.94892862],-2034.6380735882813,0.18367209225606476,0.4015625611545786,-0.0,1.0000000039093202,-0.0,0.04015625611545787,0.04015625611545787,0.10000000039093203,0.10000000039093203
0.018000000000000002,61.49613951925331,[-4059.53005207],-2009.6587347285445,0.1832364474447243,0.0,1.0000000005972445,1.000000001140706,-0.0,-0.10000000005972445,-0.10000000005972445,0.1000000001140706,0.1000000001140706
0.020000000000000004,60.83255517835963,[-4006.48358372],-1978.7317444282096,0.18271271365196545,0.0,1.0000000079879392,0.9999999995737737,-0.0,-0.10000000079879393,-0.10000000079879393,0.09999999995737738,0.09999999995737738
0.022000000000000006,60.389944460469,[-3982.41513997],-1969.4169912039422,0.18213734767339712,1.0000000176472295,-0.0,0.9970495580474227,-0.0,0.10000000176472296,0.10000000176472296,0.09970495580474227,0.09970495580474227
0.024000000000000007,59.62452104827578,[-3943.12932668],-1955.6452909793127,0.18155271305297854,0.999999987250976,-0.0,0.9492724281018303,-0.0,0.09999999872509761,0.09999999872509761,0.09492724281018304,0.09492724281018304
0.02600000000000001,58.51862579883591,[-3871.1103474],-1920.4894874199106,0.1808976711724619,0.0,0.9999999526869865,1.000000002430536,-0.0,-0.09999999526869865,-0.09999999526869865,0.10000000024305361,0.10000000024305361
