time,V,V_dot,stability_bound,task_error,u_0 (A Flexor),u_1 (A Extensor),u_2 (B Flexor),u_3 (B Extensor),tau_0,tau_1,tau_2,tau_3
0.0,66.58773104653682,[-3948.38304615],-1728.7920112633183,0.18601075237738274,0.0,0.9999999998130723,0.9999999988108405,-0.0,-0.09999999998130724,-0.09999999998130724,0.09999999988108405,0.09999999988108405
0.002,65.40844678553795,[-3882.01394295],-1701.7323834348117,0.18601075237738274,0.0,0.9999999999692861,0.9999999991739323,-0.0,-0.09999999999692862,-0.09999999999692862,0.09999999991739324,0.09999999991739324
0.004,64.69347440861429,[-4100.87057775],-1944.4214307984464,0.18582192188642405,0.0,0.9999999999849972,0.9999999997652461,-0.0,-0.09999999999849973,-0.09999999999849973,0.09999999997652462,0.09999999997652462
0.006,64.16968977718626,[-4174.23688004],-2035.2472207961655,0.18553896265100717,0.0,0.9999999999789879,0.9999999997543196,-0.0,-0.0999999999978988,-0.0999999999978988,0.09999999997543196,0.09999999997543196
0.008,63.74874225185716,[-4194.1691132],-2069.2110380899403,0.18520326342159898,0.0,1.0000000021584319,0.9999999998246796,-0.0,-0.1000000002158432,-0.1000000002158432,0.09999999998246796,0.09999999998246796
0.01,63.391181963943964,[-4168.05275551],-2055.0133567143052,0.18483753016734764,0.0,0.9999999999930987,0.9999999999000845,-0.0,-0.09999999999930988,-0.09999999999930988,0.09999999999000846,0.09999999999000846
0.012,63.075852899316054,[-4145.71633673],-2043.1879067523444,0.18445531780137067,0.0,0.9999999992105624,0.9999999990859493,-0.0,-0.09999999992105624,-0.09999999992105624,0.09999999990859493,0.09999999990859493
0.014,62.79040312897172,[-4133.66077682],-2040.6473391862376,0.18406504833574644,0.0493450526798412,-0.0,0.9999999995154549,-0.0,0.00493450526798412,0.00493450526798412,0.0999999999515455,0.0999999999515455
0.016,62.28932372030811,[-4110.94884945],-2034.6380587745655,0.18367209226899053,0.40155892519216296,-0.0,0.999999999174204,-0.0,0.0401558925192163,0.0401558925192163,0.09999999991742041,0.09999999991742041
0.018000000000000002,61.49613644340918,[-4059.52985366],-2009.658638884505,0.18323644710156445,0.0,0.9999999988520699,0.9999999987380054,-0.0,-0.099999999885207,-0.099999999885207,0.09999999987380054,0.09999999987380054
0.020000000000000004,60.83255210557365,[-4006.48336959],-1978.7316327326487,0.18271271280723914,0.0,0.999999999599,0.9999999996267321,-0.0,-0.0999999999599,-0.0999999999599,0.09999999996267322,0.09999999996267322
0.022000000000000006,60.389941119100314,[-3982.41493721],-1969.4168998247378,0.18213734638462886,0.9999999961562993,-0.0,0.9970484764774284,-0.0,0.09999999961562994,0.09999999961562994,0.09970484764774284,0.09970484764774284
0.024000000000000007,59.624519375525615,[-3943.12922027],-1955.6452410852125,0.18155271132627823,0.9999999997311501,-0.0,0.9492734457637667,-0.0,0.09999999997311501,0.09999999997311501,0.09492734457637668,0.09492734457637668
0.02600000000000001,58.518621520515424,[-3871.11005583],-1920.4893384752918,0.18089766934640608,0.0,1.0000000000329559,0.9999999998539624,-0.0,-0.10000000000329559,-0.10000000000329559,0.09999999998539624,0.09999999998539624
0.02800000000000001,57.49157872840453,[-3790.95796455],-1874.5720069365298,0.1801176451832781,0.0,0.9999999998492064,0.9999999997795233,-0.0,-0.09999999998492065,-0.09999999998492065,0.09999999997795234,0.09999999997795234
0.030000000000000013,56.809628980717065,[-3746.41698776],-1852.7626883986882,0.17924606553778116,0.9999999991340334,-0.0,0.9294138031443575,-0.0,0.09999999991340335,0.09999999991340335,0.09294138031443576,0.09294138031443576
0.032000000000000015,56.0049770934973,[-3704.24458797],-1837.4120181190806,0.1783547279570379,0.9999999995989478,-0.0,0.8562416643832104,-0.0,0.09999999995989478,0.09999999995989478,0.08562416643832105,0.08562416643832105
0.034000000000000016,54.90142662241138,[-3633.79361697],-1803.7460628922577,0.1774167031863649,0.0,0.684125552165118,0.9999999986366245,-0.0,-0.0684125552165118,-0.0684125552165118,0.09999999986366245,0.09999999986366245
