# ===== Simulation Performance =====
# wall_clock_time,3.221068
# physics_time,0.482000
# real_time_factor,0.149640
# control_time,0.008063
# ==================================

time,sim_time,lyapunov_V,x_log,xd_log,task_error,u0,u1,u2
0.0,0.002,74.24382220997288,"[1.7645352600151104e-06, 2.486319227125697e-16, 0.019619730003240746]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.3273556580334094,-0.0003173389342672867,-4.822021837892744,-4.931506280592907
0.01,0.012,88.77055891139632,"[0.006553218593575888, 3.03339813815639e-05, 0.019689312605118893]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.3222430420920618,-4.071352910412187e-05,-1.9892897626376114,-2.058427224313502
0.020000000000000004,0.022000000000000006,97.29265363083692,"[0.01732526733488492, 8.233217885884292e-05, 0.020091623533966152]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.3137645318964519,-0.7911077274632264,-2.4185715317003376,-2.5168558361094067
0.030000000000000013,0.032000000000000015,97.78569487681365,"[0.030197653758607806, 0.00015737665060174994, 0.021023395658780086]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.30352030102094535,-1.907945213423592,-3.209430992617265,-3.332704913814778
0.04000000000000002,0.04200000000000002,91.01279231970169,"[0.04377244366274797, 0.0002539021035616774, 0.02252185774984429]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.2925870918184266,-3.1260587278798533,-4.1288918749904155,-4.258522244171151
0.05000000000000003,0.05200000000000003,80.13779905440441,"[0.056959864504015315, 0.00036154079238685604, 0.02447090457505487]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.28184132430047015,-4.247699363762573,-5.017803178249754,-5.1351254232660315
0.06000000000000004,0.06200000000000004,69.0024116327093,"[0.069069778598429, 0.00046681865215266144, 0.026678614184765588]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.2718693988384334,-5.174192059371542,-5.804529651038463,-5.901538661159164
0.07000000000000005,0.07200000000000005,59.80568498522906,"[0.07983649269911802, 0.0005603527341828733, 0.02897231849175474]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.26292248985062,-5.921345877780335,-6.492544016811837,-6.570112539103725
0.08000000000000006,0.08200000000000006,52.91758550389765,"[0.08929338305015908, 0.0006388392802088471, 0.031244089838967086]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.25500118531135524,-6.547245462360386,-7.1099353664791165,-7.172049286851174
0.09000000000000007,0.09200000000000007,47.90401608833301,"[0.09761674470361326, 0.0007030462419412422, 0.03344659021830172]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.24797834246555828,-7.315036775481783,-7.909283880219539,-7.961250897157473
0.10000000000000007,0.10200000000000008,44.35311961987884,"[0.10506398199594502, 0.0007561706076771919, 0.03558461803843648]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.2416502081105008,-8.356732128001578,-9.01002586025296,-9.055603967148475
0.11000000000000008,0.11200000000000009,41.71844974918068,"[0.11192282561996099, 0.0008012665001221742, 0.03770129347445493]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.23577949037598056,-9.139323000930442,-9.833840378452587,-9.87310768701006
0.12000000000000009,0.1220000000000001,39.565321049504185,"[0.11838709785164955, 0.0008397351855486357, 0.03983172664094209]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.23020501666102897,-9.71093915836434,-10.430326725478478,-10.46393434155373
0.1300000000000001,0.1320000000000001,37.6769777423109,"[0.1245807171263121, 0.0008724847884507686, 0.041998624023894336]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.2248249992804369,-10.115207533323847,-10.84625842017151,-10.875038171393538
0.1400000000000001,0.1420000000000001,35.944587038497104,"[0.13057878562252867, 0.0009003234410658082, 0.04421469868789326]","[0.2545584412271571, 0.0, 0.2254415587728429]",0.21957900719875456,-10.399039241086886,-11.132455305921257,-11.157237866787868
