# ===== Simulation Performance =====
# wall_clock_time,97.335310
# physics_time,10.002000
# real_time_factor,0.102758
# control_time,0.017332
# ==================================

time,sim_time,lyapunov_V,x_log,xd_log,task_error,u0,u1,u2
0.0,0.002,2205.6110015108675,"[1.7645352600151104e-06, 2.486319227125697e-16, 0.019619730003240746]","[0.22097086912079608, 0.0, 0.2997398089978586]",0.3567836933455403,-4.0182056988063695e-09,-4.0182279920739e-09,-4.018215914444896e-09
0.01,0.012,4269.17506466233,"[0.06334125582322168, 9.861287854376365e-05, 0.026729920458229577]","[0.2202960796928983, 0.0, 0.30039784937208774]",0.3154821100735532,-20.185442184495336,-21.835729888958785,-22.261440640088836
0.020000000000000004,0.022000000000000006,2887.1173662922397,"[0.13127462993383837, 0.0003263168394271464, 0.05073747595930595]","[0.21960464776840488, 0.0, 0.3010390367804448]",0.26543016008515835,-40.38327537623916,-40.35033775284012,-40.41771178186116
0.030000000000000013,0.032000000000000015,1710.7292287867037,"[0.18245364000706854, 0.0004373584515423465, 0.08183386465231396]","[0.2188966825324321, 0.0, 0.3016632699720052]",0.22283010136453668,-62.50364340057052,-60.63945156054766,-60.589080641245815
0.04000000000000002,0.04200000000000002,972.3240816812811,"[0.216995357454701, 0.00044992852686192404, 0.11048657375627549]","[0.2181722957808977, 0.0, 0.3022704503731116]",0.19178801565709153,-88.22633528189891,-85.32247853376386,-85.25171242377522
0.05000000000000003,0.05200000000000003,631.3059963476372,"[0.2394880895511426, 0.00042377628721349946, 0.13294739570436037]","[0.21743160190286703, 0.0, 0.30286048210294014]",0.1713392108164718,-100.00132543585933,-97.10657305604333,-97.05335208125778
0.06000000000000004,0.06200000000000004,483.8319393315423,"[0.25494647846955637, 0.00039601176027969314, 0.15030997775489663]","[0.21667471786248987, 0.0, 0.3034332719886407]",0.15783417792820617,-100.01143215593639,-97.38331282142916,-97.36051982583504
0.07000000000000005,0.07200000000000005,408.5695432400403,"[0.2664414567557904, 0.0003833692380745541, 0.16441524528150586]","[0.2159017631805303, 0.0, 0.3039887295800503]",0.1484424639983112,-100.00470894803493,-97.39935246528272,-97.39677070202524
0.08000000000000006,0.08200000000000006,362.82477044951946,"[0.2753738873251338, 0.0003875446729920364, 0.17628517300357072]","[0.21511285991549295, 0.0, 0.3045267671639762]",0.1416949120051288,-99.99873522135556,-97.23365203127992,-97.24296337601128
0.09000000000000007,0.09200000000000007,331.964066144182,"[0.28240563519789275, 0.0004057823079840064, 0.18631403579707984]","[0.21430813264434867, 0.0, 0.3050472997780469]",0.136875938312347,-100.00156829065214,-97.04640617446897,-97.07018105413795
0.10000000000000007,0.10200000000000008,311.2894357265876,"[0.28792289334528737, 0.0004378015295745999, 0.19465449234352175]","[0.2134877084428622, 0.0, 0.30555024522412827]",0.13356143316314809,-100.00555759398557,-96.9046286765423,-96.94640332013152
0.11000000000000008,0.11200000000000009,298.3470117041445,"[0.2921906629955684, 0.0004846506972363177, 0.20149098049720432]","[0.21265171686552561, 0.0, 0.3060355240813042]",0.13136301013216747,-99.97701359460599,-96.77776429907492,-96.8365314209115
0.12000000000000009,0.1220000000000001,290.71058144506816,"[0.2954208992120218, 0.0005462907884804569, 0.20705745877823775]","[0.21180028992510017, 0.0, 0.30650305971841746]",0.12993125981647008,-100.00098837432066,-97.46882590349354,-97.5413693065789
0.1300000000000001,0.1320000000000001,287.58618750957135,"[0.2981269179799729, 0.0006196247676258505, 0.21156427384607743]","[0.21093356207176975, 0.0, 0.3069527783061712]",0.12923634176391938,-100.00476085219795,-88.64620767609802,-88.79429742879337
0.1400000000000001,0.1420000000000001,293.84064856916854,"[0.3005986124160831, 0.0007041419265230495, 0.2145811898032119]","[0.21005167017190987, 0.0, 0.30738460882878704]",0.12966001368370594,-99.97095287696536,-95.47038083181761,-95.56160520715338
0.1500000000000001,0.1520000000000001,314.4470459169976,"[0.3029618021947659, 0.0007982817590070272, 0.21733485674664973]","[0.20915475348647472, 0.0, 0.3077984830952196]",0.13032293479376583,-99.88287000982795,-100.05559535739502,-100.08720420798751
0.16000000000000011,0.16200000000000012,307.4145861714354,"[0.3053600872714887, 0.0008943002847073085, 0.22007248160852083]","[0.20824295364900627, 0.0, 0.3081943357499244]",0.13114113997279855,-99.9648514944039,-94.84652224721059,-94.93830431140577
0.17000000000000012,0.17200000000000013,322.58541687894575,"[0.30763937270211766, 0.0009935581813467233, 0.22234793032682088]","[0.20731641464326883, 0.0, 0.3085721042831784]",0.13228866635503383,-99.98424411895455,-96.64767333881767,-96.69877945535806
0.18000000000000013,0.18200000000000013,335.1205019962942,"[0.3099963402158356, 0.0010881904049146324, 0.22456125667687726]","[0.20637528278051215, 0.0, 0.3089317290409509]",0.1336296535552976,-99.99824862208081,-96.27610343566342,-96.30571522271676
0.19000000000000014,0.19200000000000014,352.36167914186785,"[0.31251737650987754, 0.0011725637669141955, 0.22678090367904102]","[0.20541970667636733, 0.0, 0.3092731532343238]",0.1351897075455306,-100.28819832082004,-96.53131276014497,-96.52605733236611
0.20000000000000015,0.20200000000000015,372.359978458603,"[0.31529509724268057, 0.0012397297963764719, 0.22913781720566512]","[0.20444983722737858, 0.0, 0.30959632294845907]",0.13697364616666646,-94.20772932652902,-90.57038570689512,-90.52652322593693
0.21000000000000016,0.21200000000000016,392.44515738219474,"[0.31827613804973315, 0.001279970803563368, 0.23162910521501093]","[0.20346582758717502, 0.0, 0.3099011871511126]",0.13895885910721478,-93.03667799223908,-89.50121944170134,-89.41614207031789
0.22000000000000017,0.22200000000000017,411.01056114961443,"[0.3213251554121858, 0.0012887505316799344, 0.23450412763326844]","[0.2024678331422858, 0.0, 0.3101876977006925]",0.14091389822602474,-97.44276468969869,-94.01293754169689,-93.88229340673972
0.23000000000000018,0.23200000000000018,423.11909752422537,"[0.32413977832663277, 0.0012666135607196235, 0.23805202990170257]","[0.20145601148760298, 0.0, 0.3104558093538618]",0.14246128679287767,-100.09445436162632,-96.95821718153711,-96.77986346727756
0.24000000000000019,0.2420000000000002,423.00039167250424,"[0.32635909147401876, 0.0012135724942785222, 0.2424458227802448]","[0.2004305224014951, 0.0, 0.3107054797726824]",0.14324405062541856,-99.99260526076772,-97.21509940387159,-96.99120059156813
0.25000000000000017,0.25200000000000017,415.48939808034464,"[0.327625523288335, 0.001131951247347007, 0.24751349895537664]","[0.19939152782057676, 0.0, 0.3109366695313009]",0.14306550063923235,-99.99858143901604,-97.53884910158618,-97.28340376122402
0.2600000000000002,0.2620000000000002,404.35484536590246,"[0.327780620657183, 0.001030809267827324, 0.2530531874578795]","[0.1983391918141367, 0.0, 0.3111493421221744]",0.14188484505208343,-100.00263485960298,-97.82849882641676,-97.56302114877245
0.2700000000000002,0.2720000000000002,388.7880287025402,"[0.32677066879203126, 0.0009245800841140833, 0.2587783533353127]","[0.19727368055822941, 0.0, 0.3113434639618353]",0.13976199649810359,-100.00497360549743,-98.18043184713093,-97.91631649333695
0.2800000000000002,0.2820000000000002,368.7800342730652,"[0.3247260854173922, 0.0008254976574088275, 0.2644643726175638]","[0.19619516230943404, 0.0, 0.31151900439619495]",0.1368759219628814,-100.00022198509966,-98.62492589276417,-98.35897439849765
0.2900000000000002,0.2920000000000002,345.57172760174564,"[0.3218105139285641, 0.0007390248467513242, 0.26986231570230734]","[0.19510380737828456, 0.0, 0.31167593570538366]",0.1334298109880413,-100.00191831016514,-98.98050787709596,-98.711509518449
0.3000000000000002,0.3020000000000002,322.04209752479755,"[0.31811212098471137, 0.000668542629047855, 0.27484993651195183]","[0.19399978810237606, 0.0, 0.3118142331081286]",0.12950164997247174,-100.01997269594872,-99.31030706182476,-99.05163121709498
0.3100000000000002,0.3120000000000002,299.54142934590465,"[0.31366205797409064, 0.0006203532078276255, 0.27949976896202566]","[0.19288327881915038, 0.0, 0.3119338747656668]",0.1250594640622695,-100.00637824506813,-99.56263273609461,-99.32395291453744
0.32000000000000023,0.32200000000000023,276.65149376225014,"[0.3085329044381386, 0.0006014048494889496, 0.2839585892222011]","[0.1917544558383663, 0.0, 0.3120348417851934]",0.12010763382543,-100.13925958569321,-100.08417764068852,-99.85359021081908
0.33000000000000024,0.33200000000000024,254.05515580444936,"[0.3029803168935343, 0.0006379114607685327, 0.2879925243758981]","[0.19061349741425823, 0.0, 0.3121171182228457]",0.11492913068147766,-90.89139145185275,-91.60209715123601,-91.35007108329162
0.34000000000000025,0.34200000000000025,232.31997449473553,"[0.29769079862441744, 0.0006697236027100858, 0.2913548716969205]","[0.18946058371738778, 0.0, 0.3121806910862204]",0.11021770593585041,-78.53425195180483,-79.32404539871021,-79.12396721915147
0.35000000000000026,0.35200000000000026,213.62096642004698,"[0.29276152602973465, 0.0006936874631656016, 0.29392337850009287]","[0.18829589680619266, 0.0, 0.3122255503364253]",0.10605903254930125,-95.63444306791109,-97.06468088910385,-96.87882234519513
0.36000000000000026,0.36200000000000027,195.832056531084,"[0.28745411494547046, 0.0007507247920208724, 0.2961613571402385]","[0.1871196205982376, 0.0, 0.3122516888896649]",0.1016192556528282,-98.62829351389666,-100.08571323091495,-99.89459856608671
0.3700000000000003,0.3720000000000003,175.84758550342306,"[0.28109943209832333, 0.0008465747042360754, 0.29856814364151496]","[0.18593194084117176, 0.0, 0.31225910261835854]",0.09615097731492638,-98.60529433018854,-100.09321981266619,-99.9079877861997
0.3800000000000003,0.3820000000000003,153.36694582686786,"[0.27348341045705993, 0.0009715117275266012, 0.3013975843346116]","[0.18473304508339672, 0.0, 0.3122477903517926]",0.08941643115004484,-98.21233700454107,-100.10514490274835,-99.92578861691892
