# ===== Simulation Performance =====
# wall_clock_time,0.360294
# physics_time,10.005000
# real_time_factor,27.768981
# control_time,0.000114
# ==================================

time,sim_time,task_error,u0,u1
0.0,0.005,0.2704680887881991,0.0,0.0
0.025,0.030000000000000002,0.2637064577069103,0.4195716821383545,0.25420066780847544
0.049999999999999996,0.05499999999999999,0.24564164625971704,0.4410293633293202,0.2854433943396335
0.075,0.08,0.218727498594103,0.4219957716007402,0.34476356659687446
0.10000000000000002,0.10500000000000002,0.1903876389773386,-1.5448014747938872,1.1626209424372647
0.12500000000000003,0.13000000000000003,0.16927264636808734,-0.09831979959018317,1.1557917187203584
0.15000000000000005,0.15500000000000005,0.14463316657168143,0.3185054347020656,0.9900173503004606
0.17500000000000007,0.18000000000000008,0.11154193758473112,0.33741980041455366,0.8412633425657017
0.2000000000000001,0.2050000000000001,0.0759477508633159,0.15922104394292416,0.639676549133549
0.22500000000000012,0.23000000000000012,0.04679747059187274,-0.04006990697701345,0.4589634247541375
0.2500000000000001,0.2550000000000001,0.03191797577697856,-0.163652655439859,0.31918557609735365
0.27500000000000013,0.28000000000000014,0.030777889748858183,-0.20515311052827878,0.21167512910245911
0.30000000000000016,0.30500000000000016,0.03329251289873239,-0.1951855983234988,0.12371476273394555
0.3250000000000002,0.3300000000000002,0.03432285423377154,-0.16261888159308682,0.04745609175221044
0.3500000000000002,0.3550000000000002,0.03340516297336014,-0.12544496639858296,-0.019799273239526044
0.3750000000000002,0.3800000000000002,0.03108867229129737,-0.09275584512992877,-0.07799989521275337
0.40000000000000024,0.40500000000000025,0.027904958063769175,-0.06804319671964315,-0.12621017965834652
0.42500000000000027,0.43000000000000027,0.024228913361701375,-0.0517167289940207,-0.16358910924725906
0.4500000000000003,0.4550000000000003,0.020317660716479054,-0.04278693713268528,-0.18975615868842222
0.4750000000000003,0.4800000000000003,0.016356092277313473,-0.03985605724083538,-0.20484646189293773
0.5000000000000003,0.5050000000000003,0.01248274885421079,-0.04159277154147107,-0.2094274630535139
0.5250000000000004,0.5300000000000004,0.008802697972325937,-0.046880011989561626,-0.20437779295200778
0.5500000000000004,0.5550000000000004,0.005397977426603908,-0.05479816299145629,-0.19078374682858884
0.5750000000000004,0.5800000000000004,0.002364714349923957,-0.06455371344293356,-0.1698762229837823
0.6000000000000004,0.6050000000000004,0.0009740821307539024,-0.07541459164594193,-0.14300555318646951
0.6250000000000004,0.6300000000000004,0.0030532115123800894,-0.08668014253870837,-0.11163512224604065
0.6500000000000005,0.6550000000000005,0.005027955001277961,-0.09769324844841679,-0.07732772193143386
0.6750000000000005,0.6800000000000005,0.006640146724760356,-0.1078871412603728,-0.04170209222735763
0.7000000000000005,0.7050000000000005,0.007865597144321557,-0.11684639672356616,-0.006350855168493524
0.7250000000000005,0.7300000000000005,0.00869943131613753,-0.12435331615055378,0.027269158729878014
0.7500000000000006,0.7550000000000006,0.00914689784087032,-0.13039393056689053,0.05794656116139116
0.7750000000000006,0.7800000000000006,0.009224295183341382,-0.13511498107582562,0.08479357486823329
0.8000000000000006,0.8050000000000006,0.008960624034492388,-0.13874690839479462,0.10727286309407981
0.8250000000000006,0.8300000000000006,0.00839785162592297,-0.1415232852371971,0.12517296299536473
0.8500000000000006,0.8550000000000006,0.007589133746664431,-0.1436246219529696,0.13854868095226397
0.8750000000000007,0.8800000000000007,0.006595216516041377,-0.1451582451594761,0.1476485510983845
0.9000000000000007,0.9050000000000007,0.005479808006965446,-0.1461686358282482,0.15284723018118254
0.9250000000000007,0.9300000000000007,0.00430489634221863,-0.1466636414583558,0.15459207516543613
0.9500000000000007,0.9550000000000007,0.003126844628595883,-0.1466423508500413,0.15336542755726282
0.9750000000000008,0.9800000000000008,0.0019938182596629817,-0.14611584723378096,0.14965970728712877
1.0000000000000007,1.0050000000000006,0.0009454556271748667,-0.14511797063207751,0.143961135862476
1.0250000000000001,1.03,0.00010730077412273062,-0.14370721894595181,0.13673850835161389
1.0499999999999996,1.0549999999999995,0.0008212184737692365,-0.14196263904512357,0.128434694198499
1.074999999999999,1.079999999999999,0.00149161502769209,-0.13997666644903428,0.11945971522431992
1.0999999999999985,1.1049999999999984,0.0020225021328718652,-0.13784720076132095,0.11018503106688221
1.124999999999998,1.129999999999998,0.002415116954157767,-0.13567035978326214,0.10093905066732228
1.1499999999999975,1.1549999999999974,0.002676416743535303,-0.13353464443170382,0.09200399705151044
1.174999999999997,1.1799999999999968,0.0028168605893299763,-0.13151675737775348,0.08361421064473021
1.1999999999999964,1.2049999999999963,0.002849262662497441,-0.1296790276889635,0.07595588083208607
1.2249999999999959,1.2299999999999958,0.0027879143278899936,-0.12806824436889214,0.06916810284740993
1.2499999999999953,1.2549999999999952,0.002647871071768165,-0.12671564032702287,0.06334509136127796
1.2749999999999948,1.2799999999999947,0.002444369486000506,-0.12563775732926824,0.05853934754796529
1.2999999999999943,1.3049999999999942,0.002192353751361319,-0.12483793857910318,0.05476556760107115
1.3249999999999937,1.3299999999999936,0.0019060965240179028,-0.12430822504484228,0.052005089292506426
1.3499999999999932,1.354999999999993,0.0015989021815663589,-0.12403146639080899,0.050210691263880676
1.3749999999999927,1.3799999999999926,0.001282882278976989,-0.12398349242491874,0.049311581115907874
1.3999999999999921,1.404999999999992,0.0009687943251385462,-0.12413522372795857,0.04921842892881391
1.4249999999999916,1.4299999999999915,0.0006659360853939031,-0.12445462941272495,0.049828320517098144
1.449999999999991,1.454999999999991,0.00038208969425849364,-0.12490846588383515,0.051029519088377925
1.4749999999999905,1.4799999999999904,0.0001235329982381604,-0.1254637536187212,0.052705935890938145
