# ===== Simulation Performance =====
# wall_clock_time,13.910670
# physics_time,10.005000
# real_time_factor,0.719232
# control_time,0.005955
# ==================================

time,sim_time,lyapunov_V,x_log,xd_log,task_error,u0,u1
0.0,0.005,17.155718006584053,"[0.24, 0.0, 0.24]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.09468288445399207,0.0,0.0
0.025,0.030000000000000002,9.596425771739447,"[0.23944372250888776, 0.0, 0.22522089804656054]","[0.19707355514145902, 0.0, 0.15600770352654894]",0.08115230975399829,0.9999889989344655,0.5553690778813576
0.049999999999999996,0.05499999999999999,4.6949873659779655,"[0.23529217059751198, 0.0, 0.19687063680617273]","[0.19610228954933778, 0.0, 0.1568115452469911]",0.05604085646309254,-0.9998734104382305,0.30141033300210845
0.075,0.08,2.4797833551854134,"[0.2291027355990422, 0.0, 0.17696055713522255]","[0.19507706047774664, 0.0, 0.15755791812421163]",0.039168979665694055,-1.000000900299659,0.34561731942920904
0.10000000000000002,0.10500000000000002,1.4702092930053032,"[0.22319685334406178, 0.0, 0.166378878919646]","[0.19399887970400187, 0.0, 0.15824608557829142]",0.03030947033880359,-0.9999999836676715,0.716367479688507
0.12500000000000003,0.13000000000000003,0.8505073394278029,"[0.21670760597212974, 0.0, 0.16118732483053172]","[0.19286881126235683, 0.0, 0.15887536847103678]",0.023950642484553638,-0.8221208657077422,0.8083211064414723
0.15000000000000005,0.15500000000000005,0.4188333698670908,"[0.20937405154277514, 0.0, 0.15914734229661887]","[0.19168797039392854, 0.0, 0.1594451457762068]",0.017688588222807427,-0.6935038589881717,0.8876253417745011
0.17500000000000007,0.18000000000000008,0.16440394494326452,"[0.2013811630033016, 0.0, 0.15952313257907041]","[0.19045752244608957, 0.0, 0.15995485519239133]",0.010932168469156537,-0.7023117293303448,0.887205426254795
0.2000000000000001,0.2050000000000001,0.128247512087915,"[0.19288389688088836, 0.0, 0.1616311775818568]","[0.18917868172241065, 0.0, 0.1604039936979345]",0.0039031525278384435,-0.4007395100543746,0.9110126154724962
0.22500000000000012,0.23000000000000012,0.2948236594132841,"[0.18425223530597767, 0.0, 0.16430944659621566]","[0.18785271028428968, 0.0, 0.1607921180473566]",0.005033390526282438,-0.9007901209153895,0.7116692109478415
0.2500000000000001,0.2550000000000001,0.5664015576680972,"[0.17671191053086785, 0.0, 0.16745664213502584]","[0.18648091670544964, 0.0, 0.1611188452087835]",0.011644790745964652,-0.09008351057485224,0.6745862884299385
0.27500000000000013,0.28000000000000014,0.7835885485233296,"[0.1706010280402326, 0.0, 0.16979113537942722]","[0.18506465478053424, 0.0, 0.1613838527419531]",0.016729581579619443,-0.8167750805648079,0.39919763902630384
0.30000000000000016,0.30500000000000016,0.8613671739225667,"[0.1666284877588445, 0.0, 0.17147588366562966]","[0.18360532218907594, 0.0, 0.16158687911642497]",0.019647018049711317,-0.18038556602082106,0.2887014915151889
0.3250000000000002,0.3300000000000002,0.7632688358870355,"[0.1646355100018603, 0.0, 0.17185097977355349]","[0.1821043591161552, 0.0, 0.16172772396967913]",0.020190121283654466,-0.35822725452055265,0.12068306138383701
0.3500000000000002,0.3550000000000002,0.5761832560672034,"[0.16441245924048198, 0.0, 0.1712001398155316]","[0.18056324683111147, 0.0, 0.16180624830484983]",0.01868403429434046,-0.28346127008139205,-0.008791853747313278
0.3750000000000002,0.3800000000000002,0.35921742720687433,"[0.16547716750275965, 0.0, 0.1697222013189481]","[0.1789835062257094, 0.0, 0.16182237462789867]",0.015646994837593235,-0.20018907504163946,-0.07010004924122569
0.40000000000000024,0.40500000000000025,0.18644443094270852,"[0.1671791321981014, 0.0, 0.16772626203564459]","[0.17736669631320212, 0.0, 0.16177608702409166]",0.011797925464563536,-0.2748211385582805,-0.11254878279274402
0.42500000000000027,0.43000000000000027,0.07812384539052958,"[0.16899374204568712, 0.0, 0.16562006556311276]","[0.1757144126897734, 0.0, 0.16166743117370544]",0.007796841188751271,-0.2582733783612325,-0.11211132524241033
0.4500000000000003,0.4550000000000003,0.030643940314250478,"[0.1707243878965706, 0.0, 0.16351286773132742]","[0.174028285959877, 0.0, 0.16149651430694617]",0.0038705843931806597,-0.2533786626320356,-0.10832902947849513
0.4750000000000003,0.4800000000000003,0.03356172269768275,"[0.1721983049345727, 0.0, 0.16137456379873025]","[0.1723099801270267, 0.0, 0.1612635050981263]",0.00015749724946639157,-0.2764972494989871,-0.0848197708755948
0.5000000000000003,0.5050000000000003,0.06499831302815026,"[0.173172890376456, 0.0, 0.15941074500019167]","[0.17056119095162608, 0.0, 0.16096863349920337]",0.003041050881029425,-0.3007724315362142,-0.036645241002043576
0.5250000000000004,0.5300000000000004,0.10071732553453766,"[0.17346714713287223, 0.0, 0.15776767113432416]","[0.1687836442774573, 0.0, 0.16061219051284523]",0.005479643190159535,-0.33006787705980833,0.024402191326328367
0.5500000000000004,0.5550000000000004,0.12310063427732494,"[0.17299483074076832, 0.0, 0.15650289955179586]","[0.16697909432848193, 0.0, 0.16019452790524558]",0.007058130381489296,-0.34701191755324956,0.09221257890015311
0.5750000000000004,0.5800000000000004,0.12425564152035541,"[0.17174784224201767, 0.0, 0.15561374244768592]","[0.1651493219776337, 0.0, 0.15971605785897305]",0.007769778723565406,-0.3969393073801638,0.14931516938678815
