# ===== Simulation Performance =====
# wall_clock_time,15.883405
# physics_time,10.005000
# real_time_factor,0.629903
# control_time,0.006769
# ==================================

time,sim_time,lyapunov_V,task_error,u0,u1
0.0,0.005,55.62957310329518,0.17001756999052273,0.0,0.0
0.025,0.030000000000000002,40.32325502008447,0.15687023064279434,-1.0495776966687413,0.9930179228020836
0.049999999999999996,0.05499999999999999,31.971741791731866,0.13851887950446798,-0.999992459137069,0.9999998262383998
0.075,0.08,27.6321106916523,0.1264379443650097,-1.0000084535525273,0.9999979651201608
0.10000000000000002,0.10500000000000002,25.53443037710187,0.11895242628056187,-1.0000086351466604,0.9999977617217412
0.12500000000000003,0.13000000000000003,25.00712718390118,0.11509857013730596,-0.9999949793477921,0.9999978226627165
0.15000000000000005,0.15500000000000005,25.753526547929575,0.11437376393426368,-1.0002697601214967,0.9999230379526216
0.17500000000000007,0.18000000000000008,27.60405317263682,0.11637400075048503,1.0017160695005012,0.9999671989404572
0.2000000000000001,0.2050000000000001,17.955836801319286,0.10615171638209174,1.0585658530058097,0.994790381596001
0.22500000000000012,0.23000000000000012,8.382930718765332,0.07831599197221709,0.9188948190314553,0.9291847274437395
0.2500000000000001,0.2550000000000001,4.478799119100013,0.051356722309059744,-0.33955981801071616,0.5032654927845088
0.27500000000000013,0.28000000000000014,3.2912301705988822,0.04170562249250925,-0.28178626055078226,0.22343286617237965
0.30000000000000016,0.30500000000000016,2.5193123263953234,0.03785822867171294,-0.1958297296852027,-0.030719441129072607
0.3250000000000002,0.3300000000000002,1.7034335138972259,0.03301618429092185,-0.1285515519983965,-0.2231548982900185
0.3500000000000002,0.3550000000000002,0.9636782915743856,0.026249425936488366,-0.09454173646445756,-0.3356275193049441
0.3750000000000002,0.3800000000000002,0.44762835362942355,0.018574519935769,-0.08638450726645165,-0.35584676939085697
0.40000000000000024,0.40500000000000025,0.1694393106504285,0.0110881737181691,-0.08982143410386075,-0.36023250669527346
0.42500000000000027,0.43000000000000027,0.08886063939835498,0.003974358618524529,-0.16510625432343962,-0.3538803743004889
0.4500000000000003,0.4550000000000003,0.1336130373161266,0.0022527355888977215,-0.17100995460768262,-0.2822012690554039
0.4750000000000003,0.4800000000000003,0.22419013600771992,0.0070760988121933216,-0.21908881995970098,-0.186783819650506
0.5000000000000003,0.5050000000000003,0.2954683924281434,0.01032243254552137,-0.2706013440270887,-0.07828327757841969
0.5250000000000004,0.5300000000000004,0.3158745738250491,0.012009876379429327,-0.30740228074925535,0.03159194089121855
0.5500000000000004,0.5550000000000004,0.28300301571322756,0.012288720890961216,-0.37628397676272124,0.12147416852724242
0.5750000000000004,0.5800000000000004,0.21749522598329088,0.011409627043031008,-0.21747695136382852,0.2287668982048164
0.6000000000000004,0.6050000000000004,0.14208069385362224,0.009712175428601852,-0.5218857833462319,0.2235580844330498
0.6250000000000004,0.6300000000000004,0.07754024389206647,0.007540514992610698,-0.36194875078154104,0.2583460358421172
0.6500000000000005,0.6550000000000005,0.034792687452669224,0.005202018206273764,-0.37295730429019525,0.269578065910661
0.6750000000000005,0.6800000000000005,0.013274562834826836,0.00281724003304097,-0.37189260951471326,0.26893382188410286
0.7000000000000005,0.7050000000000005,0.012656022024417282,0.0004583598402677319,-0.3566673382071093,0.2603283548955279
0.7250000000000005,0.7300000000000005,0.0257961102353608,0.0017065373980162074,-0.34310213303616477,0.2338088841865975
0.7500000000000006,0.7550000000000006,0.04235398312851995,0.0034146605123588003,-0.3254327161133341,0.19777030909557347
0.7750000000000006,0.7800000000000006,0.05370691579093074,0.004568428379085049,-0.3085813224815054,0.15791907848391967
0.8000000000000006,0.8050000000000006,0.055866039421736784,0.005138592401782495,-0.29417653819851186,0.11985297276607891
0.8250000000000006,0.8300000000000006,0.0495703480458215,0.005177199146836461,-0.28353377821777237,0.08782305363439664
0.8500000000000006,0.8550000000000006,0.03838322232020945,0.004795180503288401,-0.27718725016695167,0.06450982416957765
0.8750000000000007,0.8800000000000007,0.026271577506543405,0.004134155730154616,-0.2747585315612359,0.05063848502512499
0.9000000000000007,0.9050000000000007,0.015911893085678905,0.0033326405990205476,-0.2748474021037576,0.044602533285797094
0.9250000000000007,0.9300000000000007,0.00832358645139993,0.0024919905249411022,-0.2756785491616893,0.042971045389887594
