# ===== Simulation Performance =====
# wall_clock_time,1.628500
# physics_time,19.995000
# real_time_factor,12.278170
# control_time,0.000379
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1,u2,u3,u4,u5,u6,u7,u8
0.0,0.0075,"[0.0, 0.0, 0.2575]","[0.2651650429449553, 0.0, 0.5055456351736993]",0.3630965947633273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0375,0.045,"[0.03957879346622819, 2.8653360469063898e-05, 0.2663348985190999]","[0.2638861570129142, 0.0, 0.5067656396632092]",0.32881717632962226,0.7789211508321673,0.023291770310929095,9.770118255144443,0.284357275438474,5.442147985475264e-05,7.2861041696090805,0.044572236325005316,-0.013514444441344855,4.0117411659287034
0.07500000000000001,0.08250000000000002,"[0.09533442533501978, -6.0978410904955946e-05, 0.3138652696786379]","[0.2625490995985205, 0.0, 0.5079260854374273]",0.25616469549955956,1.5689974415533312,-0.002190605000949218,8.278855340815774,0.8097253831179576,-0.007400629280063072,4.6554853010105255,0.21734338276646561,0.018851336398218066,0.8812040642318315
0.11250000000000004,0.12000000000000005,"[0.1690064275950429, -0.0001708848353339225, 0.35219879794485864]","[0.2611546129552444, 0.0, 0.5090263282869927]",0.18189610094781572,-0.08170996825741808,-0.029646231059423322,7.889221308544913,0.030119771821099477,-0.021481724966497105,5.722471994653726,0.04321017663553639,0.009045213211374064,2.5307781984188304
0.15000000000000008,0.15750000000000008,"[0.2110909644636252, -0.000393220705280863, 0.40821283457414137]","[0.25970347121779286, 0.0, 0.5100657574235694]",0.11285986145844144,0.04703682927123074,0.00011725742682899961,5.811929449938031,0.11376520850356547,0.0017584292285127122,3.5373438908930073,-0.02517737254271106,-0.027516765128473147,0.8328538426023243
0.1875000000000001,0.19500000000000012,"[0.24464592880435038, -0.0004597743599699374, 0.45614044868458303]","[0.2581964799723574, 0.0, 0.5110437958189198]",0.05655268654955612,-0.08512065434097191,0.002403620662804088,4.187472801634933,-0.04355739155336357,0.004524433985506622,2.1920162944776234,-0.040211362479583485,-0.011780992504397831,0.5489315999347106
0.22500000000000014,0.23250000000000015,"[0.2601580858508383, -0.00043564861237534766, 0.48261062321134024]","[0.2566344758094011, 0.0, 0.5119599005252355]",0.029563249082019242,0.28829660440620586,0.006630336470192523,4.281503229271802,0.09785151016969833,-0.004527847143512182,1.526009888533205,0.03713454799877339,0.03382039560259462,0.24282481997029648
0.2625000000000002,0.2700000000000002,"[0.27462771859218055, -0.00013425062869376527, 0.4912104443306491]","[0.25501832585923356, 0.0, 0.5128135629765495]",0.02917603540262293,0.3760714778457388,-0.0030565877833778083,4.266405139102903,0.13600779000607272,-0.005985797330182089,1.5653739634463062,0.036813697529041345,0.01488630901395507,0.27993279815401484
0.3000000000000002,0.3075000000000002,"[0.28360774044319004, 3.043894725709465e-05, 0.4903447370470715]","[0.25334892731063396, 0.0, 0.5136043092710603]",0.03816548701069342,0.4886964307142213,-0.0031422833810110734,4.5774128399386225,0.23414280461167997,0.0028827191575336057,1.7816083839863104,-0.0012731057409534896,-0.025699181420318865,0.28606173421448367
0.33750000000000024,0.34500000000000025,"[0.2953128229137004, -7.531251631407048e-05, 0.4869645205969941]","[0.25162720691278434, 0.0, 0.5143317004342152]",0.051549987871942406,0.5977186243883325,0.002386674569178947,4.98239740436164,0.28929378275039763,0.005417386603677438,1.9879372982259482,0.006908825398582541,-0.01697550303529796,0.5040594160770853
