# ===== Simulation Performance =====
# wall_clock_time,3.209903
# physics_time,0.022500
# real_time_factor,0.007010
# control_time,0.000414
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1,u2,u3,u4,u5,u6,u7,u8
0.0,0.0075,"[0.0, 0.0, 0.2575]","[0.37123106012293744, 0.0, 0.5409009742330267]",0.4670424094193467,-6.032289332860008e-05,1.3807590024451567e-12,1.4458585503861136e-12,-5.9933861805169705e-05,1.3719478711725012e-12,1.4439657058973122e-12,-0.00011887016917468077,1.3631482304806125e-12,-2.2902805423363733e-12
0.0375,0.045,"[2.421417342488405, -0.00393300457252358, -0.6608033152551254]","[0.37123106012293744, 0.0, 0.5409009742330267]",2.3764200933965207,-169.1487625585048,2.2824329544074295,-788.9074886094749,-237.49603269834344,0.9180627284342557,-828.1315931015512,-115.44543546951135,3.0485925625955783,-867.4552012182243
0.07500000000000001,0.08250000000000002,"[1.140919728650879, -0.12110100225161731, -0.5701789030376384]","[0.37123106012293744, 0.0, 0.5409009742330267]",1.3570499596118257,-105.19053620631561,-101.44924566843395,62.464857667730385,-56.69534248938661,86.353449441286,83.92535597652372,-13.537785426516589,-2.794198202994877,133.07866373793206
0.11250000000000004,0.12000000000000005,"[2.861686365020435, -0.1392204351098567, -3.5855108583232718]","[0.37123106012293744, 0.0, 0.5409009742330267]",4.821724231756198,275.0502372482891,106.5278982819051,31.079459975009172,169.77726904263153,9.008957344394009,6.6266037614934294,-32.80285638511151,-47.6365930524858,138.8735304892038
0.015,0.0225,"[0.07538955842521253, -0.0011423345297576395, 0.30537236187872335]","[0.37123106012293744, 0.0, 0.5409009742330267]",0.3781497405691118,-1.1387340661782221,-0.3546785937942964,-8.582310637817848,-2.4183413675208865,-0.014206383720171967,-8.840314278947629,0.02701887689608047,-0.0005959267149101425,-8.945593394953647
0.0525,0.06,"[-2.0322161011027613, -4.355950949257267, 0.3784126107989475]","[0.37123106012293744, 0.0, 0.5409009742330267]",4.977677108590978,-491.3826550864678,-105.23174095071045,134.12592582422198,-113.99002064906334,-168.23339087188597,-87.11584985870991,41.98381102982711,-23.363232050975224,-306.46104920118944
0.015,0.0225,"[0.07538955842521253, -0.0011423345297576395, 0.30537236187872335]","[0.37123106012293744, 0.0, 0.5409009742330267]",0.3781497405691118,-1.1387340661782221,-0.3546785937942964,-8.582310637817848,-2.4183413675208865,-0.014206383720171967,-8.840314278947629,0.02701887689608047,-0.0005959267149101425,-8.945593394953647
0.0525,0.06,"[-2.0322161011027613, -4.355950949257267, 0.3784126107989475]","[0.37123106012293744, 0.0, 0.5409009742330267]",4.977677108590978,-491.3826550864678,-105.23174095071045,134.12592582422198,-113.99002064906334,-168.23339087188597,-87.11584985870991,41.98381102982711,-23.363232050975224,-306.46104920118944
0.015,0.0225,"[0.07538955842521253, -0.0011423345297576395, 0.30537236187872335]","[0.37123106012293744, 0.0, 0.5409009742330267]",0.3781497405691118,-1.1387340661782221,-0.3546785937942964,-8.582310637817848,-2.4183413675208865,-0.014206383720171967,-8.840314278947629,0.02701887689608047,-0.0005959267149101425,-8.945593394953647
0.0525,0.06,"[-2.0322161011027613, -4.355950949257267, 0.3784126107989475]","[0.37123106012293744, 0.0, 0.5409009742330267]",4.977677108590978,-491.3826550864678,-105.23174095071045,134.12592582422198,-113.99002064906334,-168.23339087188597,-87.11584985870991,41.98381102982711,-23.363232050975224,-306.46104920118944
