# ===== Simulation Performance =====
# wall_clock_time,2.780304
# physics_time,0.502000
# real_time_factor,0.180556
# control_time,0.005469
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1,u2
0.0,0.002,"[1.7645352600151104e-06, 2.486319227125697e-16, 0.019619730003240746]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.4876676864576202,-26.0597500378362,-32.17337624326252,-32.13894763590051
0.01,0.012,"[0.0020764490344032313, -5.459154195835542e-06, 0.01962730566116582]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.48634084112247117,-88.32225547841955,-99.99991709630409,-99.93000048256809
0.020000000000000004,0.022000000000000006,"[0.008657971371081596, -1.5881273075546363e-05, 0.019750568447522484]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.48208933233173695,-8.864185653583512,-6.433137397242884,-6.428184332246213
0.030000000000000013,0.032000000000000015,"[0.007197692138693749, -2.6236429682921446e-05, 0.019711266474782697]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.4830374155631327,-1.0105074868545219,-2.2923842355098447,-2.2909277275429503
0.04000000000000002,0.04200000000000002,"[0.005756416273000873, -3.4969837001305996e-05, 0.019677266861520912]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.48397194656133885,-99.99989194530146,-2.2057996471469652e-05,-0.00010057694642197572
0.05000000000000003,0.05200000000000003,"[-0.06661075786735346, -3.9314050605863226e-05, 0.0274851595981981]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.5271253824413981,-0.0018931793579964413,-0.11818896488967263,-0.11817958497366748
0.06000000000000004,0.06200000000000004,"[-0.12162666588295774, -3.985112960659638e-05, 0.045971102435050905]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.5560572455676258,0.0029350259254671243,-0.29897995460625126,-0.29872186342367363
0.07000000000000005,0.07200000000000005,"[-0.16186272070837607, -3.9118067073569565e-05, 0.06685909937836082]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.5757537060360745,-0.023862794885185914,-0.5011787481658074,-0.50068831336602
0.08000000000000006,0.08200000000000006,"[-0.1902895560243061, -3.82904042183321e-05, 0.08561200440287091]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.5892627398735171,0.0006456815425998932,-0.6734783018671746,-0.67280965713
0.09000000000000007,0.09200000000000007,"[-0.2096002102761511, -3.7801168322231946e-05, 0.10019786240202135]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.5984579480975019,0.00035582558848820445,-0.9522277087194753,-0.951291684589113
0.10000000000000007,0.10200000000000008,"[-0.22174944940958205, -3.778430707875117e-05, 0.1100345580008813]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6043562734068701,0.000288183604633342,-1.4927881297089962,-1.4913491726197468
0.11000000000000008,0.11200000000000009,"[-0.2276723246491956, -3.839755791720499e-05, 0.11484314282504686]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6073508483079488,0.00028368804429238165,-5.448095887773602,-5.44342341022469
0.12000000000000009,0.1220000000000001,"[-0.22959092886918717, -3.9674664669797256e-05, 0.11612401127763874]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6084651138290866,0.00020457882830665291,-3.740137126872781,-3.7366844067704235
0.1300000000000001,0.1320000000000001,"[-0.2265463740449994, -4.1656683876429955e-05, 0.11240905777104641]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6074812677670752,-2.6336241860122764,-1.788102975958578e-05,-3.269601710606326e-05
0.1400000000000001,0.1420000000000001,"[-0.2350708145589198, -4.163834244043321e-05, 0.12187784374031911]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6107439480998555,0.0005981214566130131,-0.41404017696924583,-0.4136430693531255
0.1500000000000001,0.1520000000000001,"[-0.24462833407784867, -4.1188453177512666e-05, 0.1331408264284041]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6144194882572842,-0.00014968610316793508,-1.0474971602340863,-1.0464864607807465
0.16000000000000011,0.16200000000000012,"[-0.24877307363059073, -4.1429819289487584e-05, 0.13810839910522205]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6160819864601852,-0.0002848517674893673,-3.660207442892302,-3.6568746371000125
0.17000000000000012,0.17200000000000013,"[-0.24494950634143414, -4.337148333437688e-05, 0.13295541316963705]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6147890618394748,-2.0709457542048515,-4.9409825731526734e-06,-1.3081693754206245e-06
0.18000000000000013,0.18200000000000013,"[-0.24825082896612286, -4.3652093171882754e-05, 0.13752987086359847]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6158491864281094,9.727482953011702e-05,-0.4048832096072591,-0.40449772604401163
0.19000000000000014,0.19200000000000014,"[-0.2552242365592854, -4.325186449008039e-05, 0.1472320472487098]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6182358957022156,-0.000163685400019792,-1.2794052297712106,-1.278193212635657
0.20000000000000015,0.20200000000000015,"[-0.25716692579238914, -4.375955150381874e-05, 0.15005858291046956]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6188912610441297,-16.33258855826887,0.001562628324792623,-0.003112601235913441
0.21000000000000016,0.21200000000000016,"[-0.26127813021690827, -4.3589569849906044e-05, 0.1567708603022621]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6200571660254642,-0.0002468888588857965,-1.9938206469076154,-1.9919224143978411
0.22000000000000017,0.22200000000000017,"[-0.26308767754050555, -4.399909018996294e-05, 0.160302719505113]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6203824648626793,-0.0002428319219796067,-1.0835563514393287,-1.0825430572948214
0.23000000000000018,0.23200000000000018,"[-0.2641642659763171, -4.451056019995618e-05, 0.16280945291334775]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6204360130555655,-54.33987149795631,0.0171888022842609,-0.02131787326829671
0.24000000000000019,0.2420000000000002,"[-0.2798423298758767, -3.9438424590405624e-05, 0.19596536447065152]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6236330085075709,0.0011011623779512987,-0.08775721184639368,-0.0877042088988649
0.25000000000000017,0.25200000000000017,"[-0.2889576431203673, -3.624396286841602e-05, 0.22042819017838444]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6250026306162232,5.2035502571967304e-05,-0.3824944273541522,-0.38215982428097994
0.2600000000000002,0.2620000000000002,"[-0.2942749363215994, -3.447664986887838e-05, 0.23642971234461943]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6258615841434401,0.00033530649684210045,-0.9114376358009385,-0.9106584040899791
0.2700000000000002,0.2720000000000002,"[-0.29693923159192537, -3.3918844301939305e-05, 0.24441103662195032]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6264709970651257,0.00040966652481073625,-2.862922724127975,-2.860605161114745
0.2800000000000002,0.2820000000000002,"[-0.2975402525439706, -3.445047637258714e-05, 0.24593958034053354]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6266886909415994,-5.950825165499458,0.00017370747406953384,-0.0002958366193051856
0.2900000000000002,0.2920000000000002,"[-0.2971529153245485, -3.560893265622988e-05, 0.2439714176482254]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6267842929324355,-2.1030794818759495,1.3796544973794207e-05,-7.51924307284273e-05
0.3000000000000002,0.3020000000000002,"[-0.29734501440596284, -3.603229621511308e-05, 0.24507531031369564]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6267054665100564,0.00030891546640114307,-1.8088487567730203,-1.8073601279390337
0.3100000000000002,0.3120000000000002,"[-0.29008541526642734, 0.0003583896872714038, 0.21722379629811595]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6269874080357316,-6.199285981856466,-6.3696763809258705,-6.352332185094295
0.32000000000000023,0.32200000000000023,"[-0.2620005014017709, 0.0009983552548585167, 0.15814899390428253]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.620196947828956,-1.858063031127957,-1.5268494179170278,-1.5213001076501753
0.33000000000000024,0.33200000000000024,"[-0.22810174769440214, 0.0013177408759117994, 0.11584795381309594]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.6072704689593779,-0.5154942240689538,0.005947416076293825,0.006292518437381471
0.34000000000000025,0.34200000000000025,"[-0.19532608442210986, 0.0014716932430355973, 0.08717720405654811]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.5927414158388048,-0.644865640619213,0.0005667847128834573,-0.0001951548346464725
0.35000000000000026,0.35200000000000026,"[-0.16707191004600894, 0.0015480987411179955, 0.0684887981511147]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.579121991579558,-0.7688223082087117,0.001157962661468443,-8.096399890500044e-05
0.36000000000000026,0.36200000000000027,"[-0.14459448180792958, 0.0015859795342904545, 0.05667686006561444]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.5676678000278177,-0.9427666869813899,-0.0006236187978777814,-0.002066481904524799
0.3700000000000003,0.3720000000000003,"[-0.12811333534638777, 0.001604836899362322, 0.04949736752502534]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.5589350862011754,-1.2884644112048007,-0.0007077816184159104,-0.002422524049020641
0.3800000000000003,0.3820000000000003,"[-0.11773990936038457, 0.001613538049965413, 0.04559252951210595]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.5532792003498014,-2.6096577397953586,-0.0005001498801186987,-0.003740644911912538
0.3900000000000003,0.3920000000000003,"[-0.07001434690075373, 0.0016651191973481344, 0.02899848679597293]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.528522806176174,-0.040088065237516284,-0.004092371897395843,-0.001256645249034261
0.4000000000000003,0.4020000000000003,"[-0.002042760277230749, 0.0016925634809062267, 0.0198066302435321]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.4888340069151201,-0.18171383992927986,-0.01691967499065188,-0.016229897919333026
0.4100000000000003,0.4120000000000003,"[0.05364821820468892, 0.0016836729264209807, 0.02353571959117351]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.45209869675201064,-1.080033271964059,-0.8245808928038799,-0.8241573110870498
0.4200000000000003,0.4220000000000003,"[0.09703427481490329, 0.0016612630968319568, 0.03314925345472085]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.4205721711619285,-1.5758739054118205,-1.2642602736805408,-1.2638749818062724
0.4300000000000003,0.43200000000000033,"[0.12980002584677466, 0.0016368766807393935, 0.044351369753230445]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.39489220034657346,-2.4183101618677507,-2.0724981389561714,-2.0713706544760906
0.44000000000000034,0.44200000000000034,"[0.1540231613802493, 0.0016151795936540751, 0.054886425588845204]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.3747820767465046,-3.183943759248248,-2.80904261363703,-2.807083528518592
0.45000000000000034,0.45200000000000035,"[0.17160622482481008, 0.0015974045832292203, 0.06376004253437823]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.3595636701471905,-4.73879650457155,-4.303291668687502,-4.299602102636339
0.46000000000000035,0.46200000000000035,"[0.18399539945195692, 0.0015831553210029685, 0.07062454076268748]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.34853965848785123,-8.534577537894242,-7.94223493946372,-7.934445203753968
0.47000000000000036,0.47200000000000036,"[0.19215056812125048, 0.0015705931458879147, 0.07540339036116801]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.34116557453283547,-24.573506919892573,-23.474367896342827,-23.449694423154128
0.48000000000000037,0.4820000000000004,"[0.19666004567641165, 0.001550972130086144, 0.07809357319187152]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.3370876428736911,-99.98995976023753,-77.14417296743058,-78.51555812277046
0.4900000000000004,0.4920000000000004,"[0.18787764313934716, 0.0018369169899037402, 0.07171715982716338]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.3461224584087381,-7.320583821669796,-7.7354587560892165,-7.720144397701596
0.5000000000000003,0.5020000000000003,"[0.18291747183232418, 0.0019470202034166057, 0.06862507262753063]","[0.3111269837220809, 0.0, 0.39514718625761425]",0.35079646594020786,-17.87927600881067,-18.705400486742125,-18.67538464815733
