# ===== Simulation Performance =====
# wall_clock_time,5.575355
# physics_time,0.045000
# real_time_factor,0.008071
# control_time,0.037276
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1,u2,u3,u4,u5,u6,u7,u8
0.0,0.0075,"[0.0, 0.0, 0.2575]","[0.37123106012293744, 0.0, 0.5409009742330267]",0.4670424094193467,-7.207607294158794e-05,7.180226192743028e-13,3.139544508253679e-11,-7.161124337352803e-05,7.134286739872922e-13,3.1391542045771224e-11,-0.00014203057100317586,7.088831306052012e-13,2.6927975140365928e-11
0.0375,0.045,"[0.32084241404155767, 2.8180695477843914e-06, 0.051670479577595706]","[0.3692908712802839, 0.0, 0.5427086874913466]",0.4934225112901744,-0.8839633397531811,0.003556605683030901,14.78981237956819,0.5305107901431254,-0.003938256085514102,21.809586556679413,1.0245163156212418,-0.0012087198874279144,24.99999886882452
0.07500000000000001,0.08250000000000002,"[-0.465152884210545, 0.012171931049994623, 0.5987887623288861]","[0.3672206301332265, 0.0, 0.54438166734632]",0.8342385481808716,-7.152439896735016,-6.366377576764415,2.740531392436598,-17.751691389684687,-10.568487587423936,0.09233640789485478,0.500822386411468,-0.06875466727969635,-1.0211462348673246
0.11250000000000004,0.12000000000000005,"[-0.6031164215615291, -0.29152705969184417, 0.13806224966269542]","[0.3650229223959549, 0.0, 0.5459178242598484]",1.0902421683190269,-44.81803589058024,46.04194567652679,5.666780813095766,33.91093864399047,-45.07465852066462,36.718759136644124,16.4815633277709,16.883502918976312,-26.539328949207793
0.15000000000000008,0.0075,"[0.0, 0.0, 0.2575]","[0.36270049298738316, 0.0, 0.5473152395845629]",55343.52291050231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0375,0.045,"[0.3031514794025797, 0.012228851152795758, 0.11791767164795296]","[0.3692908712802839, 0.0, 0.5427086874913466]",0.4300829816439289,-0.5334910923638422,5.165438444685863,12.921691937836059,0.048066296650980944,-0.8772563395194284,18.847357505248024,1.1198466499525508,-0.43112084406873236,21.459252797247576
0.07500000000000001,0.08250000000000002,"[-0.51739833035156, 0.0654801628095986, 0.599719437188163]","[0.3672206301332265, 0.0, 0.54438166734632]",0.8887635375856868,-24.072115014875834,-5.621850773922845,6.381518936861317,-11.511110807718698,10.968702465563332,-1.1241122619900425,-0.9933075687465902,-1.0150011661512943,0.998860253790207
0.11250000000000004,0.12000000000000005,"[0.6275840899111603, -7.15154103744939, 1.4424194545641413]","[0.3650229223959549, 0.0, 0.5459178242598484]",7.212294555143176,554.8589788422591,6607.291080836626,192.40198143130826,2601.903450486188,5601.25038366537,-26.860638618428712,117.50242773677581,569.1800176327298,1980.6966652444792
0.03,0.0375,"[0.1879999986655892, 0.026968659094860275, 0.13275567010890713]","[0.3696893931369601, 0.0, 0.5423578536677365]",0.4489012067403129,13.8905204965509,1.5600760223729992,12.215400204725437,22.866663547297584,-1.3785518015729774,3.9002539437397865,-0.17711810773321424,-0.011351858110727468,1.5671827322089822
0.0675,0.07500000000000001,"[-0.24119482275114118, 0.11552251343932868, 0.5079064746655679]","[0.3676449607463131, 0.0, 0.5440579527903394]",0.6207562021044757,-4.497801628864282,8.851463062916032,5.960513747070625,-8.678258864615364,1.4205935032089312,12.507722972438872,0.41935683682683583,1.518238517812779,14.862432289044474
0.10500000000000004,0.11250000000000004,"[-0.6155591253925978, 3.9158336209020863, -2.564335567966147]","[0.3654725317800013, 0.0, 0.5456216332883188]",5.095881656062714,198.27244303519447,-1590.4242245817284,-111.42354814004545,-95.44835339345721,-69.76834801675703,-64.75652872644264,20.56653649737419,-28.44858634008517,229.0390723486036
0.0225,0.03,"[0.08865688359045876, 0.01147079512624562, 0.29197827384116104]","[0.370082692469574, 0.0, 0.542001647498699]",0.376621497553166,-0.4955217653107982,-4.327500003082961,-0.3447563597854281,-1.022645644050879,-2.701629992134311,0.06302382417891984,-1.346658152267281,0.016964487317844758,0.31142116789567925
0.06,0.0675,"[-0.06581482215111786, 0.07350730994590005, 0.3464782157404864]","[0.3680641709847154, 0.0, 0.5437287809440495]",0.4822469188840631,1.002142684936479,24.650040643143274,4.0434764485630845,-22.89507090922551,-1.1871117509047004,-1.9307652799171862,1.9542680400721149,1.7727789864800503,1.5060977515149074
0.09750000000000003,0.10500000000000004,"[-1.330829356499487, 1.9758433634966936, 0.1698223338571891]","[0.3659171293340472, 0.0, 0.5453199068977093]",2.6313312337335444,-116.59135317522542,-18.51846088748795,-53.02337386160075,-195.17251378265541,40.159769476358015,-28.227996856464333,-0.0432099304869845,14.890647067509235,95.30262749624026
0.015,0.0225,"[0.0534821556731782, 0.0062556883435731245, 0.2811765957719855]","[0.3704707496270565, 0.0, 0.5416400867819557]",0.4103195492328016,-1.0974920541569713,0.3531288403098253,-0.3814345627778551,-3.8000630210626634,0.010772713043703674,0.00855086299149949,0.009233712782639902,-0.0031233162854386472,0.3990944692492174
0.0525,0.06,"[0.13554021939439936, 0.0031780936979302447, 0.3804682102278966]","[0.3684782399027346, 0.0, 0.5433941682544112]",0.2842799491289388,-16.800997811936387,-1.7319893526922672,-4.507142979872611,-12.016364509863289,1.0572439884428004,11.674865239691718,-1.1512203709377602,0.3207837232057871,17.71978889837171
0.09000000000000002,0.09750000000000003,"[-0.8394767362871118, 0.5966298312686747, 1.0814991857738168]","[0.36635669284392525, 0.0, 0.5450126601636771]",1.448385033936364,13.923027558408478,26.426669756670226,14.194337139227288,2.0999315566166965,-28.056368302893347,12.32247029964917,1.284726224639901,-0.6040039999073008,-0.7038741234629876
0.0075,0.015,"[5.065991577408751e-13, -1.1002395902595306e-14, 0.25694818750000015]","[0.3708535452202621, 0.0, 0.5412731895827665]",0.46730403252211117,25.000061160647885,1.9315520111560012,2.522087258142621,17.29305451182909,1.903248653536681,2.5220855767288812,0.000755993931828847,-5.051461320434127e-05,2.522088318935223
0.045,0.0525,"[0.2729285356231486, -0.008899066493999682, 0.24381212688918757]","[0.36888714681155627, 0.0, 0.5430541314402352]",0.3143772029479902,24.03981857655436,6.838573946179619,21.433170907658987,17.425988119196308,-0.5902655233882598,23.380124486875182,0.045731021123224885,-0.45882505800680307,27.645009153259323
0.08250000000000002,0.09000000000000002,"[-0.7840603630352921, 0.10153098700950633, 0.8242910782263642]","[0.3667912003469922, 0.0, 0.5446999084377023]",1.1886711422787906,-5.544376024621024,19.14315252915545,-0.7914791912011665,2.029211423384861,9.883780052045642,-0.05756890188775954,-3.1458070175943322,4.275068604762161,0.4027671983143972
0.12000000000000005,0.0075,"[0.0, 0.0, 0.2575]","[0.36456832364649006, 0.0, 0.546208465013215]",194.60126399519544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0375,0.045,"[0.3031514794025797, 0.012228851152795758, 0.11791767164795296]","[0.3692908712802839, 0.0, 0.5427086874913466]",0.4300829816439289,-0.5334910923638422,5.165438444685863,12.921691937836059,0.048066296650980944,-0.8772563395194284,18.847357505248024,1.1198466499525508,-0.43112084406873236,21.459252797247576
