time,task_error,u0,u1,u2,u3,u4,u5,u6,u7,u8
0.0,0.31433461470223095,-1.7004316365787793e-05,-6.421038408937453e-08,4.555567996200452,-1.7708297402927186e-05,-3.569587305403343e-08,2.594388700800452,-9.121711975613512e-06,-7.181362018692321e-09,0.633209405400452
0.0375,0.29530075267970063,-0.9771095711116107,-6.988896593197559e-08,5.66590793055918,-0.4670722090934893,-4.4262801967705136e-08,3.6074210641490865,-0.081738405151773,-1.2248607006766172e-08,1.1331915057618969
0.07500000000000001,0.2674894553295915,-0.2981659177839959,-1.7304838833711228e-05,5.910583529361558,-0.15688454896354942,-7.824683966058764e-06,3.753621201114821,-0.02345857106138599,1.6436725948885918e-05,1.2038386522116133
0.11250000000000004,0.2293087737191894,-0.21862049648947185,6.662265572331024e-05,5.826893340137654,-0.12116366079512815,2.2323481803261126e-05,3.4822444736185707,-0.02620454648713451,-2.263211076283219e-05,0.9549835624068503
0.15000000000000008,0.19200467886001518,-0.1660480588960724,-6.006030735389626e-05,5.623548832265046,-0.10437890760662934,0.0001469618507907627,3.153918469893058,-0.016809812541483664,-6.710836302387764e-07,0.9418269612336425
0.1875000000000001,0.1565713728735517,-0.20135780812230408,3.725054364550617e-05,5.257872580756113,-0.11598548559936059,-0.00030154863579104314,2.7985417727288513,-0.021701528110416264,-4.067393028535677e-05,0.8338238842940369
0.22500000000000014,0.12430626209477488,-0.23181365315288044,0.0002710201212762116,4.805134868810979,-0.12700371465603638,0.0007455350941358095,2.5498159811275123,-0.015040046925384503,6.834403803344195e-05,0.72850500482682
0.2625000000000002,0.0967000148248772,-0.1813430992232472,0.005931013099631247,4.375344652386756,-0.10981313861295383,-0.012284801150899215,2.383982325048724,-0.015395205817787947,-0.001969557393446176,0.6740110509425159
0.3000000000000002,0.07405364272936668,-0.16463870060750463,0.006836210310838959,4.111728376962005,-0.07796294373503979,0.002839320707882325,1.8607377858006071,-0.004963274279387348,-0.00472707555477114,0.5871619948894857
0.33750000000000024,0.06035807982074131,-0.29335654886923734,-0.0013324870235071158,4.119610357455355,-0.11728835395862078,0.01888493837295352,1.529386249891268,-0.01742997104916076,-0.0018810677047773519,0.3897043428056362
0.3750000000000003,0.05352278306747004,-0.3577819088793075,0.002895136117863754,4.238886535045557,-0.14817972867357093,-0.008959202822710037,1.5688627053324202,-0.012900573792550196,0.006163289309934591,0.2166592789392965
0.4125000000000003,0.0551092049010111,-0.38687053534184257,-0.004433242173386191,4.386574269179865,-0.17539603064703735,0.007209674557279634,1.7830520627717714,-0.020747366009824894,-0.005393227297645148,0.3079923589359155
0.45000000000000034,0.06652072373215923,-0.4192181806038623,0.003367708025430074,4.483930979901106,-0.19432845872991283,-0.005068823230623275,1.909984633652372,-0.019089063832002796,0.0036618501816541938,0.5269067526539657
0.4875000000000004,0.08155743087805084,-0.43671051784912834,-0.0012617601136491884,4.546963188797434,-0.2098588932801082,0.003478009566946611,1.9489105065340482,-0.027867445478489832,-0.0024100694539775903,0.6685967373049834
0.5250000000000002,0.09261490674775595,-0.4587003594406973,0.0006091618833827302,4.53366344925486,-0.2188873142497907,-0.001720869741308306,1.9696539897527623,-0.023267674989658454,0.0013942979766271182,0.620718857428472
0.5625,0.09789262282561348,-0.4638747283542668,-0.001667042569400197,4.5213006485945275,-0.2282128155960657,0.0005330928212090476,2.0157001541325332,-0.02526940058203741,-0.0007448080927028887,0.5065891663143564
0.5999999999999998,0.1007387239942988,-0.4792025528971955,-0.0006058147918904934,4.530501540212459,-0.2252456467051559,-0.001185441067162348,1.993192678688889,-0.019784256499346092,0.00024316801361414032,0.4613963464829657
0.6374999999999995,0.10393056008424936,-0.4790235542973236,-6.0603436846814584e-05,4.582328671435997,-0.21513565398892923,0.0005956757555001238,1.9035143873005875,-0.02318943632240944,-8.162048787586504e-05,0.497335901792501
0.6749999999999993,0.10671613334463777,-0.48313009282267394,-0.00020474767243329342,4.610247471126568,-0.2144695539413054,-0.0003265980932772995,1.7956990855943793,-0.021193410622792577,-1.824281560096908e-05,0.5187949225316533
0.712499999999999,0.10700956061774554,-0.5023732593672459,-0.00012265643221296926,4.585043446084216,-0.21842365568359595,0.0001566715632312798,1.7366148341804497,-0.0246275268234357,8.972274147689844e-05,0.4752619544790425
0.7499999999999988,0.10450932789078433,-0.4997073418053037,-0.00034521223648259144,4.502445073786378,-0.21975461809634592,-0.00016525618999441432,1.7300714798267218,-0.020649266040919653,-0.00011525077350172272,0.4093769991781657
0.7874999999999985,0.10082413233910627,-0.48853619540290094,3.624261873968028e-05,4.418006006196466,-0.2165540590453018,0.00011219237516976683,1.7258845624622239,-0.022357254021387406,0.00013070348513355822,0.38177236631085276
0.8249999999999983,0.09748584096515131,-0.46962447856263073,-0.0005129166392435359,4.34122591957044,-0.20977866769422993,-0.00019930269472724426,1.6871536958511228,-0.019171054158919544,-0.0001291526704195429,0.3999602109674002
0.862499999999998,0.0942036275783301,-0.44983975121008596,-3.165914309798362e-05,4.255183054800052,-0.2020841969213379,0.00019064192282997386,1.6273414954517276,-0.021841367723121174,0.00012857580913262946,0.4143590067182444
0.8999999999999978,0.08980743251545621,-0.43391621933532104,-0.000293637537296448,4.164404352795861,-0.19613784240879995,-0.00025204659369026765,1.5703413543394698,-0.018572080949716775,-9.223596470219073e-05,0.3885237542861526
0.9374999999999976,0.0840851145301617,-0.4223911228022682,-0.00010102195090506581,4.097030719241846,-0.19094613402428914,0.00018789297058817688,1.519684713662258,-0.020398406560327015,9.532225512701333e-05,0.34105228585340097
0.9749999999999973,0.0781658596843423,-0.41391182321949876,-0.0003290962761458311,4.067497837512359,-0.18621025442125005,-0.00044379258001044395,1.4759517013745178,-0.017272404654329936,-9.788459175909442e-05,0.30970578429496765
1.0124999999999973,0.07327074684600626,-0.4080417042719825,-4.365203983119426e-05,4.066034919719428,-0.1825488626717349,0.0003258701947215273,1.4478305440147998,-0.019899235434331187,6.79124098595333e-05,0.30105710248769674
1.0499999999999976,0.06989457061642304,-0.40591560541945193,-0.0002279627355464219,4.082536707655506,-0.18192978255540837,-0.0002782292092852866,1.4500677999478373,-0.017655680278015694,-5.949524849435308e-05,0.30171925874523914
1.087499999999998,0.06815849294865009,-0.40696184659405465,-7.479986353063758e-05,4.115369143274561,-0.1845433242829671,0.00013376358310849098,1.4822554170674,-0.02068177407866724,6.446837031019452e-05,0.3100155801842371
1.1249999999999982,0.06815120605600203,-0.41044940226478993,-0.0002500554574270291,4.162895584594242,-0.1886438972860912,-0.00014289078320435807,1.5286596118730111,-0.01898689834801548,-6.945136314284481e-05,0.33105626580461206
