time,Lyapunov,task_error,u1,u2,u3,u4,u5,u6,u7,u8,u9
0.0,21.552880446040728,0.17622783548577106,3.5346789889029416e-06,-1.229128981127275e-07,7.3925897254154815,2.2798103007198512e-06,-7.949619091023393e-08,4.247707299168611,4.7465941077059237e-07,-1.63358229524667e-08,-4.4237935047225734e-05
0.001,20.210871180003863,0.17626449017503792,4.329950216695381,-1.38415805961727e-05,15.757976334890731,1.7233685446764488,-5.522793276294538e-06,10.95628987860596,0.17641447654173956,-5.795041959202302e-07,3.1621229481335216
0.002,18.910372645437846,0.17607030678997004,4.284125688761164,0.02193175078173102,13.984777072145139,1.6918494715136005,0.008684602112420002,9.615308276434543,0.17497647653636209,0.0008701534907550746,2.738493330481021
0.003,18.406025679881417,0.17565051147769156,3.966404662511573,0.07241552694916707,13.093997909250929,1.7432124607928652,0.02359835273572579,8.899045274602658,0.19591209641259066,0.0018680091226147607,2.483218264017122
0.004,19.303248060993962,0.17500892711247687,3.8522350620616765,0.14067391150291028,12.513332865616285,1.7304532253458553,0.04275543134845348,8.284486230118285,0.20346939277881249,0.0028759223509245532,2.2548758212523032
0.005,21.65246908579978,0.1741586515867185,3.7946715302125615,0.21940803084862667,11.936939458365151,1.6636602533517233,0.06149596328793305,7.684899070428849,0.19724098677708984,0.004870348064212926,2.0175869146775973
0.006,24.90872988696198,0.17312363995855232,3.8130969815079703,0.2813712055111476,11.728351328785825,1.6303077956123848,0.0890811728165372,7.246109952190144,0.1909084095691834,0.00721010408625307,1.8075178485809826
0.007,28.742651633199156,0.17192836245499246,3.77866157531188,0.3022223555910213,11.903750975046444,1.596105535733293,0.1013429049602878,7.033689568633661,0.18487167248323055,0.008414279548564725,1.6368931157551116
0.008,32.90985993686566,0.17059405210358966,3.789790257576663,0.313891366513797,12.382541485446028,1.5930628920683605,0.11619065584250153,6.996481852638976,0.18097549293549514,0.009761339930438147,1.5051958179827296
0.009000000000000001,37.530078708903574,0.16913743572256232,3.7592514889485105,0.31417276505952874,13.15817011149248,1.5815479320910306,0.11515230858566607,7.145797551324608,0.1775749819670316,0.010816683473335175,1.4323625142267482
0.010000000000000002,42.7875347951465,0.1675703498887529,3.708487634899296,0.3374172555020911,14.077300170125627,1.5565398800123778,0.12276988259920185,7.390653374132957,0.17793564319375235,0.013249247608238354,1.3527347241595788
0.011000000000000003,48.53782806682609,0.16590340003806361,3.663454884255574,0.35695125220033075,15.222188750324285,1.5230589054097177,0.12839008151959705,7.770688559733903,0.17878447418899213,0.013698688845568742,1.2953768472066212
0.012000000000000004,54.2478793310252,0.1641469857568032,3.597626678954402,0.3681888858409081,16.652860748152175,1.49512537539658,0.1371285709229008,8.232637882620946,0.17355055138639014,0.01296682617645734,1.285658123343921
0.013000000000000005,59.878644495412,0.16231055413362425,3.528871640416593,0.3665334019145865,17.951487131760935,1.4649731025163015,0.14230888956388338,8.681554956692716,0.16580654361344954,0.013747868270328529,1.2650101461569667
0.014000000000000005,65.75806647739019,0.16040298423450922,3.4777152417768686,0.3562577566526677,19.503560405731243,1.4369790591802758,0.14165505956352134,9.359253684597533,0.1633180627555463,0.015165264349519514,1.2445581168732096
0.015000000000000006,72.10698056494648,0.15843047609095334,3.3776239466064157,0.37697658887048224,19.999999998032138,1.3947420747399286,0.15313232653447248,9.369009482956834,0.16529124241245585,0.01652906707990569,1.1505206241280042
0.016000000000000007,78.11832678883279,0.15641345335561538,3.277877161214929,0.3932683032056839,19.999999999578293,1.3582514435346105,0.1533911526974852,9.223923625108018,0.15920111593824465,0.01646033308749418,1.0772090641956575
0.017000000000000008,83.61050553103883,0.15435739828488962,3.1718220304710085,0.40596870783470096,20.000000282502345,1.3057470019780284,0.15573654376193663,8.99784052095321,0.14951860851424287,0.017059322733453727,1.0213062264396933
0.01800000000000001,88.91134703602046,0.15228766600167268,2.996893484508309,0.37391719369934895,19.99999995664991,1.251407001982908,0.14648653961788752,8.818579336253809,0.14428433155882603,0.015783725845570737,0.9863727145499143
0.01900000000000001,93.83490067027356,0.15021472900037292,2.7738237187550965,0.32743501770046907,20.000078194280746,1.1628233772402987,0.14033869053362977,8.50692152823027,0.13453757866785945,0.022827953062576633,0.9785935349644144
0.02000000000000001,98.17714721431685,0.14815119323044265,2.5753739717919992,0.3192354251824869,20.000098796700456,1.0738943335749687,0.13695174506983657,8.640716636652238,0.12315349961767658,0.024574666174689237,0.9849232140836182
0.02100000000000001,101.84420051320411,0.14610103535001334,2.352178671475331,0.33199317609843315,20.000115296483944,0.9864866643838063,0.13735824413185452,8.848252630291428,0.1122056777669609,0.022882398278683262,1.0711207439693975
0.022000000000000013,104.94104263223339,0.14406068897580204,2.1589906107897723,0.34032455563953534,20.00010393586019,0.8972905852979385,0.14017929313555766,8.871569878884106,0.10278807383744262,0.020539732891813694,1.1124777392935723
0.023000000000000013,107.38744965197532,0.14202581177444398,1.9761128693048127,0.3334480513919314,20.000085781748496,0.8262949564176842,0.13876391860064605,9.00984530504096,0.09403494849633746,0.020010010094283392,1.127790122140092
0.024000000000000014,109.09107434476597,0.13999382770589774,1.7629193406572263,0.3173163718819828,20.00006134176186,0.734737055060486,0.13578748440545604,9.064456408355731,0.08251161534975938,0.020099236546825276,1.1417554671078514
0.025000000000000015,110.62592505524195,0.13796660160058183,1.6086437503859736,0.3091812587302808,20.00003092126725,0.6705085700090541,0.13149796031958624,8.996273975810944,0.07506760198697478,0.019560755728854542,1.2352376972048924
0.026000000000000016,111.82491045911942,0.13593710973344691,1.4672954895566455,0.3085045032756236,19.99996893363849,0.6066895862378415,0.13222225954576627,9.166301040142985,0.06767360967359748,0.018792026921260876,1.285468335631628
0.027000000000000017,112.3601405971176,0.1339026678604855,1.4046697176476972,0.3090830920466252,20.00001611462946,0.5516267135593683,0.13080719162759755,9.351387297827483,0.061722975199545116,0.017599510435686902,1.292757505065608
0.028000000000000018,111.90529677049217,0.13186159189990687,1.3398570983876208,0.31322308463866394,20.0000589278638,0.511059292640696,0.12970775921100086,9.290643775235864,0.05660595182814588,0.01750825183402778,1.2614515625164986
0.02900000000000002,110.34960808325427,0.12981412977816847,1.2578078976813645,0.3196245386309871,20.00005519865791,0.4712245349578563,0.1315593707830904,9.427864260202924,0.050246287755642875,0.017623569891035924,1.3062565213812687
0.03000000000000002,108.10241893192192,0.12776136478346026,1.1703666589351325,0.32178270577865714,20.000308761812807,0.44209209635354035,0.134960549029029,9.321860262377742,0.04458979613497618,0.016811868379063136,1.3028660338747449
0.03100000000000002,105.73790140875289,0.12570315474303545,1.0759921354939581,0.32744208804669067,19.99999873360796,0.41091148064950234,0.13547604791627615,9.285189313052612,0.04079934464773187,0.01683706898102364,1.330874505212417
0.03200000000000002,103.39306698042547,0.12363729267462992,0.9906544462586255,0.32958057434614746,19.999999530281652,0.3819609496629997,0.13708932807670338,9.270336320389228,0.03795678433712566,0.017615706541042445,1.2732151068390523
0.03300000000000002,101.12755115936824,0.12156346635674707,0.9124656118700805,0.3352079091924063,19.99999996591979,0.35946343100912187,0.14029935831004162,9.369746901062522,0.036941373912973204,0.017345650020225187,1.3362597475358993
0.03400000000000002,98.7482322041475,0.11947817378939482,0.8510223941302464,0.33577747918534395,20.00000289709687,0.3353484131658179,0.1425576687367967,9.20536501927556,0.033538746863235686,0.01675263267784348,1.2820856687931996
0.035000000000000024,96.46365713822159,0.1173839670824255,0.7897193702839156,0.33870109623907835,20.000008222714722,0.3108640772782432,0.14335052916465318,9.312701083136371,0.030939280074876015,0.017181084854662097,1.2782804477752878
0.036000000000000025,94.36451369164978,0.1152809210203742,0.7211824759113411,0.34165962744698786,20.000013144045685,0.2878137659390869,0.1450177872402435,9.328106285665354,0.02964367319217365,0.018082818359169132,1.2480843341828813
0.037000000000000026,92.19387935086182,0.11316894685261898,0.6483374294616572,0.3444893618068827,20.00001669089644,0.2668370260211237,0.14622509861664335,9.223306126954101,0.026981264335858735,0.01822204380413508,1.2501199938748355
0.03800000000000003,90.05539176053324,0.11104899945563584,0.5941425271189044,0.34635313075469737,20.000026781205722,0.24423556958599454,0.14756136038158146,9.309609049991867,0.023918457023186183,0.017685579127419207,1.2018387452530628
0.03900000000000003,88.13273704573689,0.10892253292318063,0.5313298884167823,0.3460662840866936,20.00003754042241,0.21930971450895612,0.14930963279860165,9.286479248671531,0.02239274695488709,0.017770266296360474,1.2052203190401751
0.04000000000000003,86.26286227063261,0.10678926080258344,0.474923300932007,0.3488046976036325,20.00005053157506,0.19958264089967506,0.14961958286961194,9.404047302080206,0.021194591659626397,0.018430017200626442,1.2230023388614244
0.04100000000000003,83.94240302554982,0.10465151584159649,0.4173968685323616,0.34588736161817224,20.00006990841697,0.17477750679187254,0.14923351558722284,9.316428385176016,0.017657295206237846,0.018404571785894278,1.1814975604049913
0.04200000000000003,81.07628451072337,0.10251435810414453,0.3622228364658924,0.3419480570271783,20.000075849476595,0.15829171686430332,0.15018327403563786,9.372634725777706,0.010784217890664676,0.01818703059049262,1.171789128343944
0.04300000000000003,78.49521040909843,0.10038285882618633,0.3011757932214242,0.3410621119545522,20.000075472094498,0.13999336687554867,0.14952454595128775,9.439197402994974,0.007642403066182529,0.018221960872533055,1.1664112530817778
0.04400000000000003,76.47033235538805,0.0982566447188328,0.2492925759481124,0.34057213892840327,20.000000106229706,0.11945761611536765,0.15057552002360716,9.526629022180527,0.007748069668487124,0.019075241605282716,1.207340168165648
