time,V,V_dot,q_vel_0,q_vel_1,q_vel_2,q_vel_3,stability_bound,task_error,u_0 (A Flexor),u_1 (A Extensor),u_2 (B Flexor),u_3 (B Extensor),tau_0,tau_1,tau_2,tau_3
0.0,66.58773104653682,[-1734.23795097],0.0,0.0,0.0,0.0,485.3530621027112,0.18601075237738274,0.0,1.000000709632978,1.0000001287042755,-0.0,-0.1000000709632978,-0.1000000709632978,0.10000001287042755,0.10000001287042755
0.002,65.4084467839825,[-1919.11423681],0.9528318039971583,-6.221082059166708,7.102598065545729,6.928409394881964,261.1690088293076,0.18601075237738274,0.0,0.9983774732051589,1.0002748941497148,-0.0,-0.0998377473205159,-0.0998377473205159,0.10002748941497148,0.10002748941497148
0.004,64.69295696861487,[-3492.12058003],0.023468001090077406,-6.396219254512338,9.427793090351813,8.94312684431577,-1335.6886788093477,0.18582192188617314,0.0,1.000000038150041,0.9999999938182342,-0.0,-0.1000000038150041,-0.1000000038150041,0.09999999938182343,0.09999999938182343
0.006,64.16889675081501,[-4195.82491161],-0.7720268963480258,-5.999154170009291,10.586168775429552,9.686269079960429,-2056.8619824204557,0.185538868723361,0.0,0.9999938433934165,1.0000011810499392,-0.0,-0.09999938433934165,-0.09999938433934165,0.10000011810499393,0.10000011810499393
0.008,63.747805216801076,[-4249.85038321],-1.3011937726647915,-5.688157368806382,11.223205183985284,10.03553710284874,-2124.923760523705,0.18520304282506161,0.0,0.9997766320877148,0.7584662586593146,-0.0,-0.0999776632087715,-0.0999776632087715,0.07584662586593147,0.07584662586593147
0.01,63.77438661982485,[-4251.62274585],-1.644878848477004,-4.744197673802948,10.499459134126987,8.643462940013835,-2125.8098919296035,0.18483717379631884,0.0,0.5389979107948495,0.7068603543037839,-0.0,-0.05389979107948495,-0.05389979107948495,0.0706860354303784,0.0706860354303784
0.012,63.71061482749471,[-4247.37130217],-1.9963828217293196,-3.147670740209481,8.742607022968887,7.795549931949848,-2123.6841747574085,0.1845181431126707,0.18858195089229537,-0.0,0.9435361086739849,-0.0,0.018858195089229538,0.018858195089229538,0.09435361086739849,0.09435361086739849
0.014,62.94069906271207,[-4196.04280473],-2.3991614685038876,-1.5971352649427948,7.405466700050505,8.682399337918598,-2098.020039264266,0.1842239559355017,0.0,0.1698658246642576,0.9999346990959118,-0.0,-0.01698658246642576,-0.01698658246642576,0.09999346990959118,0.09999346990959118
0.016,62.07642309030398,[-4138.42043663],-2.0766527062354907,-2.557417241631274,8.603515257519597,9.22304692425741,-2069.2106272443148,0.18383239603867702,0.0,0.4046589330803592,0.9999189708827552,-0.0,-0.040465893308035926,-0.040465893308035926,0.09999189708827552,0.09999189708827552
0.018000000000000002,61.31712452765156,[-4087.80481963],-1.8903666972562119,-3.2433393783009037,9.53863634016344,9.533908543616125,-2043.900667141732,0.18333865142955616,0.3845684290125523,-0.0,1.0000000113484768,-0.0,0.03845684290125523,0.03845684290125523,0.1000000011348477,0.1000000011348477
0.020000000000000004,60.43837873926788,[-4029.22444994],-2.506501491744927,-0.8684599000491016,7.690864441723541,9.378792053368702,-2014.6091410302497,0.18277166628035132,0.9299200036781399,-0.0,0.9999387146609781,-0.0,0.09299200036781399,0.09299200036781399,0.09999387146609781,0.09999387146609781
0.022000000000000006,59.28873206349616,[-3952.57829027],-2.797593526281359,1.1546538301593259,6.069335264757731,8.973576489873542,-1976.2872518025451,0.18211410794313787,0.21294940486805877,-0.0,0.9999996618361514,-0.0,0.02129494048680588,0.02129494048680588,0.09999996618361515,0.09999996618361515
0.024000000000000007,58.091656960137804,[-3872.77825649],-1.9607474226428034,-0.6151738459097422,7.728761317905935,9.007149270661134,-1936.3885876440427,0.18132386982538667,0.0,0.3666410810200755,1.0000562022163912,-0.0,-0.03666410810200755,-0.03666410810200755,0.10000562022163913,0.10000562022163913
0.02600000000000001,57.04136258746601,[-3802.7574854],-1.2985172225498012,-2.4618475934763016,9.478855268621677,9.369768104084136,-1901.3835239984337,0.18040799379318467,0.521490790489236,-0.0,1.0000250807634705,-0.0,0.0521490790489236,0.0521490790489236,0.10000250807634706,0.10000250807634706
0.02800000000000001,55.937304971947924,[-3729.15008165],-1.9191795543171977,0.03462283109639097,7.473022695687506,9.28063143249695,-1864.5731593764763,0.17940901691888692,0.9999779120498841,-0.0,0.89378668069722,-0.0,0.09999779120498842,0.09999779120498842,0.089378668069722,0.089378668069722
0.030000000000000013,54.764871417843146,[-3650.98806408],-2.144710927149149,2.1958326979348617,5.563544847281015,8.227694205359048,-1825.4912809708906,0.17831812643080183,0.6270626054252499,-0.0,0.9999664348719773,-0.0,0.062706260542525,0.062706260542525,0.09999664348719774,0.09999664348719774
0.032000000000000015,53.26052590867478,[-3550.70214465],-1.4472227256566867,1.1049081582472635,6.530664496499732,8.613724514805746,-1775.3508730521887,0.17712737607826295,0.0,0.17845356940630785,1.0000913847986945,-0.0,-0.017845356940630785,-0.017845356940630785,0.10000913847986946,0.10000913847986946
0.034000000000000016,51.88623484262402,[-3459.08271901],-0.5509358583908585,-1.3138624624265842,8.798035783042423,9.027622399476245,-1729.5411706161096,0.17578069052659015,0.4068580398897171,-0.0,1.0000831378232355,-0.0,0.04068580398897171,0.04068580398897171,0.10000831378232355,0.10000831378232355
0.03600000000000002,50.551590588304755,[-3370.10644228],-0.9155511501050093,0.22400974037936505,7.7095184460681745,9.140859850397515,-1685.0530293231302,0.174325277225738,1.000323444087635,-0.0,0.8725822272946572,-0.0,0.1000323444087635,0.1000323444087635,0.08725822272946572,0.08725822272946572
0.03800000000000002,49.24884778597327,[-3283.25209933],-1.2865010383909392,2.6829691498986903,5.620090901571064,8.076146860479804,-1641.6238349602315,0.17277191508584544,1.000000412846934,-0.0,0.9629079446185185,-0.0,0.1000000412846934,0.1000000412846934,0.09629079446185185,0.09629079446185185
0.04000000000000002,47.61272085582757,[-3174.18184027],-0.9000478277826116,2.800964796241434,5.510261491018926,8.19650769973517,-1587.0907072783687,0.17112940429722356,0.2232919740956738,-0.0,1.0000922419784353,-0.0,0.022329197409567382,0.022329197409567382,0.10000922419784353,0.10000922419784353
0.04200000000000002,45.96565923797323,[-3064.37779818],0.06440853562113036,0.5094648669375847,7.618592785159829,8.636753955287512,-1532.1886557555108,0.16932806873166126,0.27167334588215475,-0.0,1.0000937699460963,-0.0,0.027167334588215478,0.027167334588215478,0.10000937699460964,0.10000937699460964
0.044000000000000025,44.40987077749132,[-2960.65801695],0.19566152099573056,0.4801192612055147,7.901114463204231,8.918359752276862,-1480.3290248985472,0.16738699934099052,1.0002795665519564,-0.0,0.9264129517704823,-0.0,0.10002795665519565,0.10002795665519565,0.09264129517704824,0.09264129517704824
0.04600000000000003,42.88415219437943,[-2858.94393629],-0.30426086217633797,2.99014707492968,5.947145521007563,8.358081597623013,-1429.4717532816012,0.16533593254651388,1.0003407573602674,-0.0,0.8668234754323124,-0.0,0.10003407573602674,0.10003407573602674,0.08668234754323124,0.08668234754323124
0.04800000000000003,41.301829538614975,[-2753.44804745],-0.03411079803145112,3.6027682882277956,5.378164700147317,7.663943794687622,-1376.7203988731012,0.16317685153061307,0.7566027529211833,-0.0,0.9999998645156268,-0.0,0.07566027529211833,0.07566027529211833,0.09999998645156269,0.09999998645156269
0.05000000000000003,39.502520698831546,[-2633.50200766],0.602488099340147,2.6367717720711172,6.257196669111858,8.304910726821165,-1316.7507097143675,0.1609006384454962,0.4677902389236909,-0.0,1.0001109552940481,-0.0,0.0467790238923691,0.0467790238923691,0.10001109552940482,0.10001109552940482
0.05200000000000003,37.76976241616075,[-2517.98386063],1.083794263592511,1.7863283441315305,7.223685476699323,8.575522857852825,-1258.9920706055925,0.15845733225035313,0.9996029705698979,-0.0,1.0006284803262653,-0.0,0.09996029705698979,0.09996029705698979,0.10006284803262654,0.10006284803262654
0.054000000000000034,36.03745721975526,[-2402.4976909],0.810194850785777,3.4037695796537335,6.1638648296219225,8.610618983774971,-1201.248592636606,0.15587887094002342,1.0003820091086522,-0.0,0.8801229631140433,-0.0,0.10003820091086522,0.10003820091086522,0.08801229631140434,0.08801229631140434
0.056000000000000036,34.3902055013583,[-2292.68031662],0.9958047775754189,4.1251588463886835,5.641158374880646,7.775636457102757,-1146.340181601093,0.1531548868672319,1.0002729822265664,-0.0,0.9575650736501142,-0.0,0.10002729822265664,0.10002729822265664,0.09575650736501143,0.09575650736501143
0.05800000000000004,32.62685767829059,[-2175.11367876],1.4025897914873686,4.077151601085613,5.698470907705709,7.988159939453696,-1087.5517560727105,0.1503162973712471,0.8808015518376232,-0.0,0.9999998024712691,-0.0,0.08808015518376233,0.08808015518376233,0.09999998024712692,0.09999998024712692
0.06000000000000004,30.84663297168076,[-2056.4306772],1.8385904721363977,3.707560838207223,6.17956567273923,8.286248096536937,-1028.2206354615748,0.14732259146596002,0.9906487790494527,-0.0,1.006751804672421,-0.0,0.09906487790494528,0.09906487790494528,0.10067518046724211,0.10067518046724211
0.06200000000000004,29.099473403709855,[-1939.96468446],2.001924702538564,4.134251894491909,6.073710809009322,8.364543202743857,-969.9824377347969,0.14416962486673476,1.000046319874569,-0.0,0.9521071938757373,-0.0,0.1000046319874569,0.1000046319874569,0.09521071938757374,0.09521071938757374
0.06400000000000004,27.410955321590833,[-1827.385767],2.2339319556280732,4.511111209893218,5.932595320923485,8.071205993797072,-913.6873117489386,0.14086104589900975,0.9999987700119335,-0.0,0.9578855876838405,-0.0,0.09999987700119335,0.09999987700119335,0.09578855876838405,0.09578855876838405
0.06600000000000004,25.739868433190097,[-1715.97859053],2.551612642792238,4.664018944564026,5.904577872070912,8.008850008256177,-857.9829760929123,0.13741415335415405,0.9999999991195748,-0.0,0.9923416349741323,-0.0,0.09999999991195749,0.09999999991195749,0.09923416349741324,0.09923416349741324
0.06800000000000005,24.085296852654405,[-1605.66909757],2.884849237889005,4.6971823986845,6.01458322603006,8.170002591030201,-802.8256444759022,0.1338249434295054,0.857204771381734,-0.0,1.0000570086083092,-0.0,0.0857204771381734,0.0857204771381734,0.10000570086083092,0.10000570086083092
0.07000000000000005,22.479916191307254,[-1498.64015312],3.300190552367141,4.38149207159621,6.44755365749037,8.25865286934807,-749.3092170554204,0.13008375335506803,0.6079113988672741,-0.0,1.0001126794504342,-0.0,0.06079113988672741,0.06079113988672741,0.10001126794504343,0.10001126794504343
0.07200000000000005,20.936984375816156,[-1395.77211123],3.774665303325778,3.7197496424276975,7.15312337829495,8.33917358534909,-697.8720524348054,0.1262035026802754,0.18543220141684888,-0.0,1.0001785110057355,-0.0,0.01854322014168489,0.01854322014168489,0.10001785110057355,0.10001785110057355
0.07400000000000005,19.463052731192352,[-1297.49668371],4.348041168005157,2.475334593938789,8.305800400444593,8.467871385830568,-648.7280191990236,0.12221055436232064,0.0,0.7130651061367764,1.0000433035280778,-0.0,-0.07130651061367764,-0.07130651061367764,0.10000433035280779,0.10000433035280779
0.07600000000000005,18.070107426428947,[-1104.3863607],5.24421347191718,-0.3047050723810836,10.651114870972247,8.704902365688845,-502.0494250066211,0.11814772175551619,0.0,0.9999989247685733,1.0000003668494106,-0.0,-0.09999989247685734,-0.09999989247685734,0.10000003668494106,0.10000003668494106
