# ===== Simulation Performance =====
# wall_clock_time,19.488718
# physics_time,19.995000
# real_time_factor,1.025978
# control_time,0.006350
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1,u2,u3,u4,u5,u6,u7,u8
0.0,0.0075,"[0.0, 0.0, 0.2575]","[0.2651650429449553, 0.0, 0.5055456351736993]",0.3630965947633273,0.0,0.0,1.284092415094685e-10,0.0,0.0,1.284092415094685e-10,0.0,0.0,1.284092415094685e-10
0.0375,0.045,"[0.045396464671204846, -5.285897712086018e-05, 0.30104550653805784]","[0.2638861570129142, 0.0, 0.5067656396632092]",0.30009752019414665,-1.1461916650222355,0.016368091337185225,25.000036370796032,-0.48433739680278837,0.009091080917250135,14.095131275231752,-0.057082131885964484,0.002175537190349975,3.822758035460892
0.07500000000000001,0.08250000000000002,"[0.1011827488570831, -0.00013127784688434356, 0.36076867046363575]","[0.2625490995985205, 0.0, 0.5079260854374273]",0.21839052444474413,-0.6280017959366845,0.020898235777145748,25.000053798227,-0.35203069457823766,0.0060386350172515054,5.8831447783360895,-0.007982946831632361,0.027695016136047614,0.07115106505770928
0.11250000000000004,0.12000000000000005,"[0.13567524519678015, 0.0002291048108834344, 0.41723110811274444]","[0.2611546129552444, 0.0, 0.5090263282869927]",0.15547181953304914,0.7552063932196584,-0.021377252737504945,25.000000000333742,0.2848900170215859,-0.0339071924127012,8.912657246316204,-0.042237258827327685,-0.006883911099085427,3.5800449504911585e-11
0.15000000000000008,0.15750000000000008,"[0.14383867454816296, 0.0002729864707196422, 0.44700186599908504]","[0.25970347121779286, 0.0, 0.5100657574235694]",0.1319158065984021,1.2044886463123652,0.016564767111380233,25.000026800536467,0.4545947431547095,0.005747373290467101,8.368382563560813,0.05858829957522326,-0.040503169075873084,0.8816483961869749
0.1875000000000001,0.19500000000000012,"[0.1864145390214788, 7.264968221763632e-06, 0.44115403284703597]","[0.2581964799723574, 0.0, 0.5110437958189198]",0.10018595743776312,0.6968964715094502,0.02640442490416881,25.00000002266359,0.33653925167668075,0.03561893887276106,12.403504319989942,0.10330465796801083,0.0023496827266852047,2.5568552468657106
0.22500000000000014,0.23250000000000015,"[0.21644990321204827, 0.0005260724257442538, 0.447438541663845]","[0.2566344758094011, 0.0, 0.5119599005252355]",0.07601369860985181,0.43215872405186795,-0.02505390658856993,19.27066177795774,0.22897008961260223,-0.020944467677849674,10.187141155530062,0.024786258308322998,0.10793010509335965,2.4057737500350367
0.2625000000000002,0.2700000000000002,"[0.23565154862349008, 0.0014254705893991964, 0.4582314660878857]","[0.25501832585923356, 0.0, 0.5128135629765495]",0.057933663164550835,0.6476998562958085,-0.034197945985690474,15.078931151684687,0.2824061252206703,-0.04723243467570292,6.2796220174836135,-0.0012537080026501094,0.0051056293580528525,0.8521196786510569
0.3000000000000002,0.3075000000000002,"[0.24602115920111586, 0.0015888477424496064, 0.46944833594248436]","[0.25334892731063396, 0.0, 0.5136043092710603]",0.04478806317769796,0.5643122523991577,-0.005806493569600633,12.218905210597427,0.25345476355159213,0.005351966109639089,5.220510963923309,0.014614947328120857,-0.08706268027961146,0.6151898398286341
0.33750000000000024,0.34500000000000025,"[0.2527051188963554, 0.001118726169836298, 0.47799690079037815]","[0.25162720691278434, 0.0, 0.5143317004342152]",0.0363679956506429,0.5762739230806353,0.035263746080209234,10.674231612309681,0.25576236230039223,0.03891454228295947,4.528966896928813,0.034230871061996196,-0.014870575977007696,0.5328134580229936
