# ===== Simulation Performance =====
# wall_clock_time,46.142838
# physics_time,40.005000
# real_time_factor,0.866982
# control_time,0.005028
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1
0.0,0.005,"[0.24, 0.0, 0.24]","[0.09192388155425114, 0.0, 0.11979184719828692]",0.19072634022064033,0.0,0.0
0.025,0.030000000000000002,"[0.2395281742397494, 0.0, 0.22605221952741597]","[0.09169999498408278, 0.0, 0.12001224435429256]",0.1819275870140703,0.99980852102471,0.352226505804033
0.049999999999999996,0.05499999999999999,"[0.2339481278724992, 0.0, 0.18957209014076465]","[0.09147263281012998, 0.0, 0.12022913850100075]",0.15845413101393674,0.578425152071504,0.2657751145407432
0.075,0.08,"[0.21980315304973397, 0.0, 0.14865046930105788]","[0.09124180905716257, 0.0, 0.12044251625935881]",0.13161955699659142,0.0059177860982695795,0.17117612714158612
0.10000000000000002,0.10500000000000002,"[0.2017092588843278, 0.0, 0.11667448508532705]","[0.0910075379634769, 0.0, 0.12065236446722158]",0.11077316705418719,-0.2215443578416782,0.1601812372681617
0.12500000000000003,0.13000000000000003,"[0.18453428938426636, 0.0, 0.09495267083584871]","[0.09076983398001755, 0.0, 0.12085867018016308]",0.09727740693132697,-0.32021198181025207,0.19589796770492227
0.15000000000000005,0.15500000000000005,"[0.17042527381385314, 0.0, 0.08122153780416613]","[0.09052871176948595, 0.0, 0.12106142067227518]",0.08927864746653628,-0.37120103639412894,0.252768728516848
0.17500000000000007,0.18000000000000008,"[0.15958009329216843, 0.0, 0.0730604794998651]","[0.09028418620543577, 0.0, 0.12126060343695243]",0.08441074982799089,-0.4066971224971481,0.3260889671644693
0.2000000000000001,0.2050000000000001,"[0.15134606240113785, 0.0, 0.06872663733261372]","[0.09003627237135567, 0.0, 0.12145620618766372]",0.0808659247466783,-0.43987603363952976,0.4109572618150731
0.22500000000000012,0.23000000000000012,"[0.14486266004789486, 0.0, 0.06715047012577144]","[0.08978498555973867, 0.0, 0.12164821685871]",0.0774826085388896,-0.47428491680151824,0.506357428110418
0.2500000000000001,0.2550000000000001,"[0.1393151570245893, 0.0, 0.06775186181983017]","[0.08953034127113897, 0.0, 0.12183662360596867]",0.07350979075652674,-0.5092777033399907,0.6104263445598387
0.27500000000000013,0.28000000000000014,"[0.13400712817396293, 0.0, 0.07027227532634543]","[0.08927235521321585, 0.0, 0.12202141480762399]",0.0684044833976722,-0.5418193632957078,0.7202017378977393
0.30000000000000016,0.30500000000000016,"[0.12837816896091658, 0.0, 0.07464365656945413]","[0.08901104329976452, 0.0, 0.12220257906488426]",0.06173833243413097,-0.5674846486207065,0.8295942767530164
0.3250000000000002,0.3300000000000002,"[0.12203439630088163, 0.0, 0.0808727403896701]","[0.0887464216497347, 0.0, 0.12238010520268472]",0.053206678059206855,-0.58126205291986,0.9284918376027295
