# ===== Simulation Performance =====
# wall_clock_time,4.682367
# physics_time,3.810000
# real_time_factor,0.813691
# control_time,0.008626
# ==================================

time,sim_time,task_error,u0,u1,u2
0.0,0.01,0.19059184562883874,-0.10901856222608772,-1.4296892900428195,-1.4696715597244485
0.05,0.060000000000000005,0.17006412830543388,-2.7700604318473645,-3.2339536451994446,-3.3150987156945186
0.09999999999999999,0.10999999999999999,0.1509192089828243,-4.230459732636173,-4.646516605341427,-4.689789213440122
0.15,0.16,0.13703944192369585,-5.265752967018514,-5.722403905573757,-5.743982454653168
0.20000000000000004,0.21000000000000005,0.1247158310692951,-5.774750087526702,-6.240134713007773,-6.250738829219968
0.25000000000000006,0.26000000000000006,0.11296569594458376,-5.785040293628457,-6.2459911744090055,-6.250354560769581
0.3000000000000001,0.3100000000000001,0.10096383923947694,-5.364982991441844,-5.798794203694957,-5.799582440521494
0.35000000000000014,0.36000000000000015,0.08899669179895053,-4.808863721283467,-5.2134220752671165,-5.212363306986284
0.4000000000000002,0.4100000000000002,0.07796072160328107,-4.333764109981159,-4.7156589334564405,-4.713686035553204
0.45000000000000023,0.46000000000000024,0.06863529378888845,-4.030656262209999,-4.400359007622067,-4.397928728990267
0.5000000000000002,0.5100000000000002,0.06142700436309277,-3.888139802776978,-4.255283303704726,-4.2526222261685875
0.5500000000000003,0.5600000000000003,0.056342968530041775,-3.857667729344992,-4.228715775578804,-4.225951371423669
0.6000000000000003,0.6100000000000003,0.053109407945705484,-3.892055865349734,-4.270111105895948,-4.2673265919358085
0.6500000000000004,0.6600000000000004,0.05129064357636756,-3.9259164749081052,-4.309499640796846,-4.306754136858997
0.7000000000000004,0.7100000000000004,0.04985888569351193,-3.853190799315773,-4.230014933443179,-4.227336039340616
0.7500000000000004,0.7600000000000005,0.048472263230964784,-3.7827286284746062,-4.152874387065424,-4.150259361720634
0.8000000000000005,0.8100000000000005,0.04712876120932973,-3.7141876611426934,-4.077879752382025,-4.07532599400133
0.8500000000000005,0.8600000000000005,0.045826878485527967,-3.6475194604330543,-4.004973318806906,-4.002478367679633
